項目	値
事業の内容	 ２ 【事業の内容】当第２四半期累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。　平成29年２月13日付でマーケティング関連事業会社として株式会社ネクストマーケティングを設立し、スマートフォンゲーム企業向けにマーケティングソリューションを提供する「Active Sonar」と、スマートフォンゲームユーザーの新規獲得特化型広告配信サービス「Meegus DSP」の二つの新たなサービスの展開を開始しております。また、平成29年５月１日付で英語圏向け事業会社として株式会社S&amp;Mゲームスを、平成29年６月１日付で業界特化型のM&amp;Aコンサルティングファームとして株式会社マイネット・ストラテジックパートナーズ、他１社を設立した一方で、株式会社C＆Mは買収目的会社としての目的を達成してその役割を終えたため、平成29年4月1日付けで当社と吸収合併を致しました。この結果、平成29年６月30日現在では、当社グループは、当社及び子会社９社（うち１社は非連結子会社）により構成されることとなりました。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	
経営上の重要な契約等	
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式20,000,000計20,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第２四半期会計期間末現在発行数(株)(平成29年６月30日)提出日現在発行数(株)(平成29年８月10日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式8,108,0008,108,000東京証券取引所（マザーズ）完全議決権株式であり、株主としての権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計8,108,0008,108,000――  
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
