項目	値
事業の内容	３【事業の内容】　当社は、スナック菓子、タブレット等の製造販売を主たる事業としております。また、当社は以下の子会社３社及び関連会社１社を統括しております。　台湾湖池屋股份有限公司・・・・・・・台湾でのスナック菓子の販売及び輸出事業　Koikeya Vietnam Co.,Ltd.・・・・・・ベトナムでのスナック菓子の製造販売及び輸出事業　KOIKEYA（THAILAND）CO.,LTD. ・・・・タイでのスナック菓子の販売事業　日清湖池屋（中国・香港）有限公司・・香港でのスナック菓子の販売事業 　親会社の日清食品ホールディングス株式会社とは、業務・資本提携により開発・マーケティング・調達・生産・営業といった事業活動全般における協働関係の強化に取り組んでおります。 ［事業系統図］事業系統図は以下のとおりであります。※　Koikeya Vietnam Co.,Ltd.は連結会社に対して製品の輸出を行っております。 (1) 国内事業　スナック菓子の製造は関東工場、関東第二工場、関東第三工場、京都工場及び九州阿蘇工場の自社工場５拠点に加え、業務提携をしているふらの農業協同組合の工場「シレラ富良野」にて行っており、『安全』で『安心』できる製品づくりと、安定供給の実現に取り組んでおります。　タブレット「Pinky FRESH」につきましては、新しいターゲットの潜在需要喚起に努めております。　製品戦略につきましては、既存事業の構造改革を推進し、製品開発体制の充実による新規カテゴリーの確立を図ります。(2) 海外事業　海外事業につきましては、連結子会社である台湾湖池屋股份有限公司において主に「カラムーチョ」ブランドを集中展開するとともに、2017年９月よりKoikeya Vietnam Co.,Ltd.において初の海外自社工場の稼動を開始しております。また、2018年11月にタイ王国において、スナック菓子の販売活動を目的とし、KOIKEYA（THAILAND）CO.,LTD.を設立いたしました。 　主要な製品ラインアップは、以下のとおりであります。 ポテトスナック 「コイケヤポテトチップス」 1962年発売のロングセラーポテトスナック 「The KOIKEYAシリーズ」 2021年発売のおつまみポテトスナック 「湖池屋プライドポテト」 2017年発売のプレミアムポテトスナック 「じゃがいも心地」 2018年発売の厚切りポテトスナック 「湖池屋ストロング」 2018年発売の濃厚ポテトスナック 「カラムーチョ」 1984年発売のロングセラー辛味系ポテトスナック 「すっぱムーチョ」 1993年発売の酸味系ポテトスナック コーンスナック 「スコーン」 1987年発売のコーンクランチスナック 「ドンタコス」 1994年発売のコーントルティアチップス 「ポリンキー」 1990年発売の網目模様のコーンスナック タブレット 「Pinky FRESH」 2020年発売の乳酸菌ＬＳ１配合の機能性タブレット  
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社グループの経営方針、経営環境及び対処すべき課題等は以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 会社の経営の基本方針当社は理念を下記のとおり定めております。 ＜企業理念＞①常に安心できる商品を提供し、地球環境、人々の健康、社会的貢献を心掛ける。②独創的で心の満足度の高い商品、サービスを提供する。③独自のブランド戦略の元に、ロングセラー商品を育成していく。④時代に先がけ、変革のスピードを上げ、新しい経営形態を実現する。（マーケティング、販売チャネル、生産システム、組織）⑤世界的視野にたった企業になる。⑥従業員の物心両面の満足を追求する、と同時に関係会社・取引先の経営に適正に貢献する。 当社は、企業理念のもと、事業活動を通じた企業価値の向上を目指しております。また、購買・生産から販売に至るすべての取引先との適正な取引関係を構築することにより、常に『安全』で、『安心』できる製品を供給していくことに注力するとともに、企業活動全般にわたり、リスク管理体制の構築に取り組んでおります。 (2) 目標とする経営指標当社は、連結売上高と連結経常利益を成長を示す最重要指標と考え、同様に連結当期純利益についても配当可能利益を計る指標として重要視しております。また、連結営業キャッシュ・フローの最大化を常に念頭に置いた経営にも注力してまいります。特に国内事業においては競争が厳しいことから特定の経営指標を目標と定めず、上記の指標の向上を追求しております。 (3) 経営環境世界経済に大きな影響を与えた新型コロナウイルス感染症の感染拡大は収束し、消費動向やライフスタイルが変化してきております。これに伴う食の需要の変化に、当社は対応しなければいけないと認識しております。一方でコスト面においては、世界的な原材料価格高騰により、国内外を問わず製造コストを中心に当社の事業コストが大幅に上昇しています。当社の対策としましては、最大限の企業努力は行ったうえで、商品品質の維持・向上のために順次価格改定を行うことで利益確保に努めております。その他、世界の経済・社会情勢がさらに不透明になっており、為替が乱高下するなど、予測が大変難しい経営環境であると認識しております。社会情勢が大きく変化するに伴い、消費者の安全安心・SDGsへの関心の高まり、スナック喫食シーンの変容、流通構造の変化など需要動向の変動が見られます。当社グループでは、こうした変化に対して迅速かつ柔軟に対応を行い、日本の老舗としての安全・安心感や付加価値を提供し、また、独創的な商品を生み出し続けることで、国内外で事業を拡大し、企業価値の向上に努めてまいります。 (4) 対処すべき課題国内食品市場の成熟化、顧客嗜好の多様化に加え、新型コロナウイルス感染流行の収束に伴う消費行動の変化の中で、高付加価値商品の創出と海外での拡販に努めます。また、世界的な物価上昇に対して適正な利益の確保をするため、各種コスト削減の取り組みのほか、必要に応じた商品規格や価格、取引条件の改定に機動的に取り組みます。一方で、継続的な事業拡大のためには主原料である馬鈴薯の安定的な収穫が不可欠ですが、世界的な異常気象の増加により、国内はもとより世界各地で馬鈴薯の不作リスクが続いています。商品の安定供給の観点で、当社主力商品であるポテトチップスの主原料である馬鈴薯調達体制を強化するとともに、ポテトチップス以外の製品での売上と利益の拡大を目指します。加えて、企業活動の公共性が問われる社会情勢にも鑑み、SDGsの取り組みなどを積極的に展開し、責任ある企業として消費者はもとより社会全体から信頼される企業になるべく努めてまいります。上記方針のもと、国内事業と海外事業において以下に記載のとおり課題に取り組みます。 （国内事業）スナック菓子市場の活性化及び差別化された商品の市場拡大を目的として、「The KOIKEYA」、「湖池屋プライドポテト」、「じゃがいも心地」、「湖池屋ストロング」を中心とした高付加価値商品群の拡販に引き続き取り組みます。また、「Afterコロナ」に伴う消費者心理の変化や、食に対する顧客の嗜好多様化に応えるべく、「濃いじゃが」などに続く新機軸商品を、特にポテトチップス以外の領域で開発してまいります。また、世界的なコモディティ価格高騰に対応すべく、戦略的な販売活動、商品設計やSCM体制の効率化によりコスト削減を徹底し、さらには価格を含めて取引条件の見直しに取り組みます。 （海外事業）海外事業においては、「カラムーチョ」や「じゃがいも心地」などのブランドをグローバルブランドとして育成するとともに、各国間で連携を強化しながら、海外事業全体としての売上拡大と利益改善を目指します。台湾事業では、原材料価格高騰などによる利益圧迫に対して主力商品である「カラムーチョ」の価格改定や不採算販促の抑制などの対策を講じます。加えて、ポテト商品としては収益性の高い「じゃがいも心地」や、「黍一番」・「横綱棒」といったコーン・小麦を原料とした商品の拡販を継続し、利益確保に努めます。ベトナム事業では、国内におけるローカルの小売チェーンを中心とした売上拡大のほか、各国への輸出などにより湖池屋グローバルでの戦略的生産拠点として当社グループの事業拡大をはかります。また、引き続きのコストダウンと生産効率の改善、「じゃがいも心地（現地名：GOKOCHI）」ブランドの拡販によって収益性を強化します。タイ事業では、ベトナムからの輸入品も活用して展開商品のバリエーション拡大に加えて、販売チャネルも拡大することで事業のリスクヘッジを行い、堅実な成長を目指します。 
事業等のリスク	３【事業等のリスク】      有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成　　績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおり　　であります。　　　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 食品の安全性について近年、菓子・食品業界におきましては、食品の安全性に対する消費者の関心・要求が更に高まっています。当社グループは「食品衛生法」をはじめとする法令遵守を徹底するとともに、仕入先との連携を密にしながら品質管理体制を強化しております。製造におきましては、食品の安全を担保するためAIB（American Institute of Baking）の「国際検査統合基準」による監査・指導システムを導入し、異物混入対策等に取り組んでおります。更に、食品安全の国際認証であるFSSC22000認証の取得により、食品安全マネジメントシステムを構築し、永続的に安全な商品を提供し続ける仕組み作りを推進しております。しかしながら、当社グループの取り組みの範囲を超える事態が発生した場合や、業界全般にわたる品質問題が発生した場合、当社グループの業績及び財政状態に悪影響を及ぼす可能性があります。また、2002年４月、スウェーデン食品庁がポテトチップス等の食品に発ガン性物質（アクリルアミド）が含まれている旨の調査結果を発表いたしましたが、厚生労働省は同物質が多くの食品に存在するとの調査結果を発表し、様々な食品をバランス良く取るよう推奨しております。当社グループはアクリルアミドの低減対策を推進しており、現在のところ業績及び財政状態に影響はありませんが、今後の菓子・食品業界に影響を及ぼす問題となる可能性があります。 (2) 原材料価格の影響について当社グループの業績及び財政状態に影響を及ぼす要因として、原材料価格の変動があります。穀物相場の上昇は、食用油価格やコーンスナック原料価格の上昇に波及し、原油等のエネルギー相場の高騰は、工場の燃料コストや包装資材価格に影響を及ぼすことがあります。これら原材料価格の高騰を、内部努力で吸収できない場合や、市場の環境によって販売価格に転嫁できない場合には、当社グループの業績及び財政状態に悪影響を及ぼす可能性があります。また、当社の主力製品であるポテトチップスは、加工前の馬鈴薯の輸入が全面的には解禁されていないため、国産原料を使用しております。したがって、国内における馬鈴薯の作況によって原料の供給量が変化することもあります。当社においては、事前の販売予測に沿った需要量を十分に確保するため、仕入先との取引関係を良好に維持するなど、安定的な原料調達に努めております。しかし、予想外の作況不良で原料調達に支障が生じた場合、仕入価格の上昇や、歩留まりの低下による原材料コストの上昇が生じることがあります。 (3) 天候不順・災害等による影響について菓子・食品業界は天候不順や災害の影響を受けることがあります。菓子・食品の売上には季節変動があるものですが、通常は平均気温をもとに販売数量を予測し生産を行います。しかしながら異常気象になると、売上・利益に影響することがあります。当社グループでは、常に天候予測に気を配り、適正な生産及び在庫管理等を行うことで、機会損失を最小限に抑えるよう対策を講じております。しかしながら、上記のような施策を講じているにも関わらず、予想を大きく上回る天候不順等が発生した場合、当社グループの業績及び財政状態に悪影響を及ぼす可能性があります。また、巨大な天災地変等の災害が発生した場合、設備の毀損といった直接的被害に加え、電力・水道の使用制限による社会インフラの低下、仕入先の災害被害による資材の供給不足、物流機能の停滞といった間接的な影響を受ける可能性があります。加えて、新型コロナウイルス等の感染症が発生した場合も、従業員の安全確保と製品の安定供給を社会的責務と考え、在宅勤務環境の整備、オフピーク通勤やオンライン会議推進などに対応するとともに、工場では徹底した衛生管理に基づく適切な対策を講じ、生産体制の確保に努めます。しかしながら、感染拡大等により生産・販売などの事業活動に支障をきたす可能性があります。これらの要因は、当社グループの生産、出荷等の事業活動に与える影響が大きいと予想され、当社グループの業績及び財政状態に悪影響を及ぼす可能性があります。 (4) 海外事業の状況について当社グループは、台湾、ベトナム、タイを含む、世界各国・各地域で事業展開しているため、現地の政治・経済・社会の変化、テロ及び戦争の発生に伴うカントリーリスクが相対的に高くなる可能性があり、当該リスクが発生した場合は、サプライチェーンの遮断、設備の損壊、人員確保や営業継続の困難等により、当社グループの業績及び財政状態に悪影響を及ぼす可能性があります。なお、今般のロシア・ウクライナ情勢については、原材料価格への影響など、今後の事業への影響は多岐にわたる可能性があります。また、現在、世界経済において、新たに発生する可能性のあるカントリーリスクとしては、中国と台湾との間の武力衝突発生の可能性があげられ、万一、このようなリスクが顕在化した際には、台湾を含む世界中の事業活動に影響する可能性があります。 (5) 情報セキュリティについて当社グループは、事業及び業務の効率化を目的として、様々な情報システムを利用しているため、サイバー攻撃や、災害等の不測の事態によるシステム障害及び機密情報の漏洩等が発生した場合は、情報システムの停止、社会的信用の低下及び当該トラブルへの対応を行うための費用負担の発生等、当社グループの業績及び財政状態に悪影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　当連結会計年度における当社グループ（当社、連結子会社及び持分法適用会社）の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要及び経営者の視点による当社グループの経営成績等の状況に関する認識並びに分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 (1)経営成績の分析当社は、2021年９月28日開催の第45回定時株主総会で「定款一部変更の件」が承認されたことを受け、決算日を６月30日から３月31日に変更いたしました。このため、前連結会計年度は決算期変更の経過期間となり、決算日が６月30日であった当社は９ヶ月間（2021年７月１日～2022年３月31日）、決算日が３月31日であった在外連結子会社は12ヶ月間（2021年４月１日～2022年３月31日）を連結対象期間とした変則的な決算となっております。このため、前年同期比については記載しておりません。 当連結会計年度は、国内においてはコーン商品等の販売好調などもあり、当社主力商品であるポテトチップスの主要原料である馬鈴薯の不足を補い事業を拡大してまいりました。主産地である北海道産馬鈴薯が入荷して馬鈴薯不足が解消した秋口からは、高付加価値商品群を中心に売上を拡大しました。一方で、世界的な物価上昇と歴史的な円安の影響によりコストが大きく増加しており、価格改定や高付加価値商品群の販売構成拡大などにより、利益確保に努めました。海外においても、馬鈴薯や食用油を中心に原材料価格高騰の影響が国内に比べより強く現れ、特に利益面で計画を大きく下回りました。しかし、タイやベトナムを中心に売上を着実に伸ばしており、戦略的な新製品の上市など事業拡大に努めました。業績は次のとおりです。売上高は、44,574百万円となりました。利益につきましては、営業利益1,774百万円、経常利益1,807百万円、親会社株主に帰属する当期純利益1,164百万円となりました。 セグメント別の業績は以下のとおりです。 ＜国内＞2023年３月期は、「高付加価値商品及び馬鈴薯以外を原料とした商品の売上拡大」「原材料価格高騰による利益圧迫への対応」「関東第三工場及び九州阿蘇工場の最大活用並びに新機軸商品のヒット」を、３つの戦略テーマに据え事業展開を進めてまいりました。当連結会計年度においては、「スコーン」、「ドンタコス」といったコーン商品にて実施した大型リニューアルが奏功し、馬鈴薯以外を原料とした商品の販売構成比が拡大しました。また、「KOIKEYA The 海老」も好評を博し、ポテトチップスに頼りすぎない収益構造への転換に貢献しております。一方、世界的な物価上昇の影響への対策として、取引先様のご理解も賜りながら順次価格改定を進めており、利益維持に努めております。商品戦略としては、高付加価値商品群の継続拡販に取り組みました。「The KOIKEYAシリーズ」においては「KOIKEYA The 海老」や「KOIKEYA The 貝の浜焼き」などの新商品を発売することでブランドの成長を図りました。また、「湖池屋プライドポテト」、「じゃがいも心地」、「湖池屋ストロング」など、それぞれのブランドで継続的に新商品を投入するなど、高付加価値ブランドを中心に販売を組み立てました。2023年３月には「コイケヤポテトチップス」で大型リニューアルを実施し、定番ブランドを刷新することでポテトチップスのコモディティ化脱却を図りました。他方で新機軸商品の開発も継続しております。とうもろこし生地に大豆たんぱく質を練り込み、ベーコンのように仕上げたプラントベース商品である「BECORN（ベーコーン）」や、分食や軽食などの食シーン需要に対して個包装にした「濃いじゃが」を発売するなど、新しいスナック市場の創造へ向けた取り組みを継続しております。以上のとおり、大きなコスト増加の影響がありながらも高付加価値商品群を中心とした経営を進めた結果、国内の売上高は39,647百万円となり、セグメント利益は1,952百万円となりました。  ＜海外＞台湾事業では、台湾国産馬鈴薯の不足や各種原材料価格高騰の影響が、利益を大きく圧迫する要因となっております。こうした中、日本の料亭をイメージした高単価のポテトチップス「料・都・亭」を拡販するなど、台湾においても高付加価値商品を展開した他、カラムーチョなどのリニューアルと価格改定などを実施し、ブランドフォーメーションの整備と利益確保に努めました。特に、商品の価格改定については今後も継続的に実施すべく、準備と商談を進めております。ベトナム事業では、新型コロナウイルスの感染は落ち着き、前連結会計年度と比較して事業活動の制限は解消され、売上は大きく伸長しております。一方で、世界的な各種原材料価格高騰や馬鈴薯不足などの影響を受けて収益面では不安定な状況が続いており、各種コスト削減や商品価格の改定など収益改善に努めております。タイ事業では、ベトナムからの輸入事業の拡大に加えて、従来販路の限られていた地方のスーパーや個人商店へも展開することで売上を拡大しております。一方で、為替変動や海上運賃高騰による原価上昇の影響が大きく、「じゃがいも心地」や「スコーン」といった粗利率の高い商品の拡販とともに、商品規格変更による利益確保の準備を進めております。以上により、海外の売上高は4,926百万円となり、セグメント損失は112百万円となりました。 (2)財政状態の分析(資産)　総資産は、前連結会計年度末に比べ2,483百万円増加し、29,576百万円となりました。主な要因は、現金及び預金の増加（1,143百万円）及び売掛金の増加(1,201百万円)によるものであります。(負債)　負債は、前連結会計年度末に比べ1,516百万円増加し、14,382百万円となりました。主な要因は、買掛金の増加(821百万円）及び未払法人税等の増加(354百万円）によるものであります。(純資産)　純資産は、前連結会計年度末に比べ966百万円増加し、15,194百万円となりました。主な要因は、利益剰余金の増加（924百万円）によるものであります。なお、自己資本比率は50.9％となりました。 (3)キャッシュ・フローの状況の分析　当連結会計年度末における現金及び現金同等物（以下「資金」という。）の残高は、前連結会計年度末に比べて1,143百万円増加し、4,510百万円となりました。　当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。 （営業活動によるキャッシュ・フロー）　営業活動の結果得られた資金は2,570百万円となりました。これは主に、売上債権の増減額（1,169百万円）等の減少があったものの、税金等調整前当期純利益（1,747百万円）、減価償却費（1,232百万円）及び仕入債務の増減額（790百万円）等の増加があったことによるものであります。 （投資活動によるキャッシュ・フロー）　投資活動の結果使用した資金は655百万円となりました。これは主に、有形固定資産の取得による支出（617百万円）によるものであります。 （財務活動によるキャッシュ・フロー）　財務活動の結果使用した資金は798百万円となりました。これは主に、長期借入金の返済による支出（424百万円）及び配当金の支払額（240百万円）によるものであります。  (4)重要な会計方針及び見積り　当社グループの連結財務諸表は、我が国において一般に公正妥当と認められている会計基準に基づいて作成されております。この連結財務諸表の作成にあたって採用している重要な会計方針につきましては、「第５ 経理の状況１ 連結財務諸表等 (1)　連結財務諸表　注記事項（連結財務諸表作成のための基本となる重要な事項）」に記載しておりますが、次の重要な会計方針が連結財務諸表作成における重要な判断と見積りに大きな影響を及ぼすと考えております。 ①繰延税金資産　当社グループは、繰延税金資産については、将来の課税所得の見込み及び税務計画に基づき、回収可能性を十分に検討し、回収可能な額を計上しております。なお、既に計上した繰延税金資産については、その実現可能性について毎期検討し、内容の見直しを行っておりますが、将来の課税所得の見込みの変化やその他の要因に基づき繰延税金資産の実現可能性の評価が変更された場合、繰延税金資産の取崩又は追加計上により親会社株主に帰属する当期純利益が変動する可能性があります。 ②退職給付費用及び債務　退職給付費用及び債務は、数理計算上で設定される前提条件に基づいて算出されております。これらの前提条件には、割引率、将来の報酬水準、退職率、直近の統計数値に基づいた死亡率等が含まれます。実際の結果が前提条件と異なる場合、または前提条件が変更された場合、その影響は将来にわたって規則的に認識されるため、将来の期間において認識される費用及び計上される債務に影響を及ぼします。 ③固定資産の減損　当社グループが減損損失を認識するかどうかの判定及び使用価値の算定において用いられる将来キャッシュ・フローは、事業計画の前提となった数値を、経営環境などの外部要因に関する情報や直近の経営成績に基づいた情報に修正し、資産グループの現在の使用状況や合理的な使用計画等を考慮し見積っております。当該見積り及び当該仮定について、将来の不確実な経済条件の変動等により見直しが必要となった場合、翌連結会計年度以降の連結財務諸表において減損損失が発生する可能性があります。　なお、Koikeya Vietnam Co.,Ltd.に係る固定資産の減損の詳細につきましては、「第５ 経理の状況　１ 連結財務諸表等 (1)　連結財務諸表　注記事項（重要な会計上の見積り）」に記載しております。 (5)生産、受注及び販売の実績①生産実績当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2022年４月１日至　2023年３月31日）前年同期比（％）国内（百万円）50,762－海外（百万円）870－合計（百万円）51,633－(注)　１．金額は販売価格によっております。　２．前連結会計年度は決算期変更の経過期間となり、当社は９ヶ月（2021年７月１日～2022年３月31日）、３月決算の連結子会社は12ヶ月（2021年４月１日～2022年３月31日）を連結対象期間とした変則決算となっているため、前年同期比については記載しておりません。 ②受注実績　　当社グループは、主に販売計画に基づいて生産計画を立てて生産しております。　　　一部の事業において受注生産を行っていますが、受注高及び受注残高の金額に重要性はありません。  ③販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2022年４月１日至　2023年３月31日）前年同期比（％）国内（百万円）39,647－海外（百万円）4,926－合計（百万円）44,574－(注)　１．セグメント間の取引については相殺消去しております。２．前連結会計年度は決算期変更の経過期間となり、当社は９ヶ月（2021年７月１日～2022年３月31日）、３月決算の連結子会社は12ヶ月（2021年４月１日～2022年３月31日）を連結対象期間とした変則決算となっているため、前年同期比については記載しておりません。３．主な相手先別の販売実績及び当該販売実績に対する割合は以下のとおりであります。相手先前連結会計年度（自　2021年７月１日至　2022年３月31日）当連結会計年度（自　2022年４月１日至　2023年３月31日）金額（百万円）割合（％）金額（百万円）割合（％）丸紅㈱5,06616.78,81419.8三菱商事㈱3,39411.25,44112.2 (6)経営者の視点による経営成績等の状況に関する分析・検討内容（経営成績の分析）　当社グループの当連結会計年度の業績は次のとおりです。　売上高は、44,574百万円となりました。　利益につきましては、営業利益1,774百万円、経常利益1,807百万円、親会社株主に帰属する当期純利益1,164百万円となりました。　世界的な物価上昇と歴史的な円安の影響により、原材料価格の高騰などのコストが大きく増加する要因があった一方、国内における高付加価値商品群の継続拡販、馬鈴薯以外を原料とした商品の販売構成比拡大、新機軸商品の開発、海外における各国の収益改善及び利益確保施策等が主な要因となり、好調な売上の推移となりました。 （財政状態の分析）　財政状態の分析につきましては、「４［経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析］(2)財政状態の分析」に記載のとおりであります。 （キャッシュ・フローの状況の分析）　キャッシュ・フローの状況の分析につきましては、「４［経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析］(3)キャッシュ・フローの状況の分析」に記載のとおりであります。 （資本の財源及び資金の流動性）　当社グループにおける資金需要は、主に運転資金、設備投資、配当金の支払いとなります。これら資金需要を満たすため、当社グループでは営業活動から得られるキャッシュ・フローを主たる財源とし安定的な資金確保を行っておりますが、当社グループの戦略として掲げている高付加価値商品の売上拡大、定番商品等の収益改善、新規商材開発を進めるにあたり必要となる設備投資を主とした成長投資等の将来への資金需要に対しては、可能な限り自己資金から充当し、必要に応じて金融機関からの借入による調達を行う方針であります。また、金融機関とは良好な関係を継続しており、当座貸越枠を設定し、機動的な資金確保が行える体制を構築するなど十分な資金の流動性を確保しております。　配当金の支払いにつきましては、株主の皆様への安定した配当を継続するとともにグループの業績に応じた成果の配分を行うことを基本方針としております。 
経営上の重要な契約等	５【経営上の重要な契約等】日清食品ホールディングス株式会社との業務・資本提携契約　当社は、日清食品ホールディングス株式会社（以下、「日清食品ＨＤ」といいます。）との間で、2011年５月11日に業務・資本提携に関する契約を締結し、2012年５月21日に両社の関係をより強固なものとするべく、当該契約を変更しております。本契約に基づき、日清食品ＨＤは、当社の発行済株式総数の20.0％に相当する数の株式を取得いたしました。更に、2014年11月18日に当社の同社に対する第三者割当増資により、同社は当社の発行済株式総数の33.4％に相当する数の株式を取得し、その後の追加取得により同社は当社の発行済株式総数の45.1％に相当する株式を保有しております。　業務提携に関しては、主に以下の内容の相互協力を想定しています。　　A.商品開発およびマーケティングに関する分野B.営業に関する分野C.資材調達機能、生産機能、物流機能などの機能面および安全に関する分野D.海外事業に関する分野E.人的交流 
研究開発活動	６【研究開発活動】当社グループは「湖池屋プライドポテト」、「じゃがいも心地」、「湖池屋ストロング」、「The KOIKEYA」等の高付加価値ブランドを中心として、社会変化・生活変化・意識変化に対応した新市場創造型の商品開発に取り組んでおります。新商品として、若年層を中心に広がる主食と間食の境界線がなくなる“分食化”に対応する次世代型の個包装スナックとして、細切りの国産じゃがいもをアンチョビオリーブの濃厚ソースと一緒に絡め、丸い１枚に整えた高密度ポテトチップス「濃いじゃが アンチョビオリーブ」を発売しました。また、湖池屋ポテトチップス60周年を記念し、減プラスチックへつながる取り組みとしてパッケージの素材に「紙」を使用した「The KOIKEYA」シリーズにおいては、独自の技術を元に海老本来の旨みを贅沢に味わえる「KOIKEYA The海老」を発売しました。既存商品として、「スコーン」では35年目のフルモデルチェンジを実施し、時代の変化にあわせ、本格的で濃厚な味わいはそのままに、生地の食感・味付け・パッケージデザイン等を刷新してリニューアル発売しました。また、地域とともにテーマに取り組み、商品を通じた社会貢献を目指すプロジェクトである「JAPANプライドポテト」においては、海岸清掃活動で回収された海洋プラスチック(ポリタンク)等をリサイクルした再生樹脂を使用した「オーシャンプラスチック買い物かご」を宗像市等に設置したことをはじめ、「宗像」、「小豆島」、「今金」、「金沢」、「熊本」の各展開地域への貢献・振興に沿った企画を実施しました。企業におけるSDGs推進活動の一環として展開するアニメーション湖池屋SDGs劇場「サスとテナ」は、2021年10月より放映を開始し、2022年４月、10月にシーズン２、シーズン３を放映しました。シーズン３においては、SDGsと並んで世界的にも重視されているウェルビーイング（well-being）の観点からも多くのテーマを取り上げたことに加えて、新たにアニメに登場する“SDGs怪獣”を募集する等、お客様とのコミュニケーション企画を実施しました。今後も「食でくらしをゆたかに。」をテーマに、社会に貢献する食のイノベーションの実現に向けた商品・ブランド・コミュニケーションの開発を続けていきます。 当社グループの研究開発費用は事業部門別には区分できず、研究開発活動の成果は、基本的には国内事業部門において反映された後、海外事業に展開しており、当連結会計年度における研究開発費は503百万円であります。 
設備投資等の概要	１【設備投資等の概要】　当連結会計年度の設備投資の総額は、637百万円であります。このうちの主なものは、スナック部門における既存設備の維持・増強を目的とした菓子製造設備更新等の投資によるものです。
主要な設備の状況	２【主要な設備の状況】  当社グループにおける主要な設備は、次のとおりであります。以下、金額には消費税等は含まれておりません(建設仮勘定は除く)。また、従業員数の（　）は、臨時従業員数であり、外書しております。 (1) 提出会社2023年３月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数（人）建物及び構築物（百万円）機械装置及び運搬具（百万円）工具、器具及び備品（百万円）土地（百万円）(面積千㎡)建設仮勘定（百万円）合計（百万円）本社（東京都　板橋区）国内本社設備2501013339(3)－614149(7)研究開発設備041－(－)－6関東工場他（埼玉県　加須市他）国内食品製造設備50870219388(27)81,62894(135)関東第二工場（埼玉県　加須市）国内食品製造設備54482315538(14)－1,92234(166)関東第三工場（埼玉県　加須市）（注）国内食品製造設備99588136－(－)－1,91412(11)京都工場（京都府　南丹市）国内食品製造設備46594021416(22)01,84399(273)九州阿蘇工場（熊本県上益城郡）国内食品製造設備1,4361,25933510(20)－3,24090(-)北海道支店他（札幌市　北区他）国内営業所設備他2－0－(－)－2141(13) (2) 在外子会社2023年３月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数（人）建物及び構築物（百万円）機械装置及び運搬具（百万円）工具、器具及び備品（百万円）土地（百万円）(面積千㎡)建設仮勘定（百万円）合計（百万円）Koikeya Vietnam Co.,Ltd.本社・工場（ベトナム　ドンナイ省）海外食品製造設備2262340－(－)－462301(-)（注）関東第三工場の土地は、関東工場他の数値に含めて表示しております。
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式8,000,000計8,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年３月31日）提出日現在発行数（株）（2023年６月22日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式5,335,0005,335,000東京証券取引所スタンダード市場単元株式数100株計5,335,0005,335,000－－  
