買	企業名	コード	ビジネスモデル	17業種	33業種	テンバガー指標	ノーバガー指標	PER	何倍株か	決算	決算伸び率%	IPO情報URL	有価証券報告書	IR	事業内容	想定時価総額（億円）	会社設立	上場日	市場	株主名と比率	企業業績のデータ（5年分）	管理人からのコメント	会社URL
	Institution for a Global Society											https://www.ipokiso.com/company/2021/i-globalsociety.html		https://irbank.net//ir	AIを活用した人材評価プラットフォームを企業や学校に提供するHRTech×EdTech企業	71.3		12月29日(水)	東証マザーズ	"[{""株主名"": ""ＵＴＥＣ３号投資事業有限責任組合"", ""比率"": 17.59, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""福原 正大（社長）"", ""比率"": 14.43, ""ロックアップ"": ""90日間"", ""isCEO"": true}, {""株主名"": ""ＴＵＳキャピタル１号投資事業有限責任組合"", ""比率"": 13.18, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""みやこ京大イノベーション投資事業有限責任組合"", ""比率"": 9.89, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""慶應イノベーション・イニシアティブ１号投資事業有限責任組合"", ""比率"": 9.11, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""岩永 泰典"", ""比率"": 7.5, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""（株）ウィザス"", ""比率"": 6.69, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""船野 智輝"", ""比率"": 5.37, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""（株）ＫＥＩアドバンス"", ""比率"": 4.05, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""学校法人河合塾"", ""比率"": 2.31, ""ロックアップ"": ""90日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""経常利益（百万円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""当期純利益（百万円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""純資産額 （百万円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""1株あたりの純資産額（円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""1株あたりの純利益（円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""自己資本比率（％）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""自己資本利益率（％）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}]"	Institution for a Global Society[インスティテューション フォー ア グローバル ソサエティ]（4265）、HR事業では、企業の人材採用・育成・配置・組織開発を支援しています。とくに、AIによって先入観をもたずにおこなった人材評価のデータを分析し、そのデータ結果に基づいた人事がおこなえる点に強みをもっています。教育事業では、学校や教育機関向けに、生徒の能力と教育効果をAIで可視化する評価システムなどを提供しています。	https://i-globalsociety.com/
	セキュア											https://www.ipokiso.com/company/2021/secureinc.html		https://irbank.net//ir	法人向け入退室管理および監視カメラシステムの提供など	39.9		12月27日(月)	東証マザーズ	"[{""株主名"": ""合同会社LYON"", ""比率"": 30.44, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""谷口 辰成（社長）"", ""比率"": 11.25, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""谷口 喆成"", ""比率"": 10.26, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""谷口 才成"", ""比率"": 10.22, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""CBC（株）"", ""比率"": 5.18, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""グローバル・タイガー・ファンド３号投資事業有限責任組合"", ""比率"": 4.94, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""（株）ブロードバンドタワー"", ""比率"": 3.41, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""i-nest１号投資事業有限責任組合"", ""比率"": 3.41, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""（株）東邦銀行"", ""比率"": 2.73, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）KAWASHIMA"", ""比率"": 2.73, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""経常利益（百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""当期純利益（百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""純資産額 （百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""1株あたりの純資産額（円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""1株あたりの純利益（円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""自己資本比率（％）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""自己資本利益率（％）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}]"	セキュア（4264）、売上構成比30.3％（2020年12月期）の入退室管理システム「SECURE AC」、同67.6％の監視カメラシステム「SECURE VS」、同2.1％の画像解析サービス「SECURE Analytics」の3サービスを販売しています。サービス導入社数は、右肩上がりで増え続け、2021年9月末時点で、6,398社となっています。	https://secureinc.co.jp/
	アジアクエスト											https://www.ipokiso.com/company/2021/asia-quest.html		https://irbank.net//ir	デジタルトランスフォーメーション事業（企業のDXを実現する為のコンサルティング、システム開発、プロダクト開発等、様々なデジタル技術を活用したデジタルインテグレーションサービスの提供）	33.2		12月27日(月)	東証マザーズ	"[{""株主名"": ""桃井    純（社長）"", ""比率"": 41.73, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""JHDアセットマネジメント（株）"", ""比率"": 31.6, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""スターティアホールディングス（株）"", ""比率"": 20.54, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""西野 伸一郎"", ""比率"": 1.9, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""岩崎 友樹"", ""比率"": 1.11, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""西日本電信電話（株）"", ""比率"": 0.92, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""屋野 祐"", ""比率"": 0.32, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""外谷 悠一郎"", ""比率"": 0.32, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""小畠 芳紀"", ""比率"": 0.32, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""伊藤 晶子"", ""比率"": 0.32, ""ロックアップ"": """", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""経常利益（百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""当期純利益（百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""純資産額 （百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""1株あたりの純資産額（円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""1株あたりの純利益（円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""自己資本比率（％）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""自己資本利益率（％）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}]"	アジアクエスト（4261）、企業のデジタルトランスフォーメーション（IoT・AI・クラウドなどのデジタル技術を用いて、組織や製品・サービスを変化する）を実現するためのコンサルティング、システム開発、プロダクト開発サービスなどを提供しています。	https://www.asia-quest.jp/
	長栄											https://www.ipokiso.com/company/2021/choei.html		https://irbank.net//ir	不動産管理事業および不動産賃貸事業	84.4		12月24日(金)	東証2部	"[{""株主名"": ""長田 修（社長）"", ""比率"": 48.82, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""長田 久美子"", ""比率"": 28.35, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""OSAフィールド（株）"", ""比率"": 9.05, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""長田 栄臣"", ""比率"": 1.98, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""山本 光伸"", ""比率"": 0.74, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""舩井 渉"", ""比率"": 0.71, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""寺田 直樹"", ""比率"": 0.39, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""田中 直樹"", ""比率"": 0.31, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""糸井 邦広"", ""比率"": 0.27, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""松本 尚視"", ""比率"": 0.22, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""経常利益（百万円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""当期純利益（百万円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""純資産額 （百万円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""1株あたりの純資産額（円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""1株あたりの純利益（円）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""自己資本比率（％）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}, {""自己資本利益率（％）"": {""2018年3月"": null, ""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null}}]"	長栄（2993）、不動産管理および賃貸事業を、京都府・滋賀県・大阪府・兵庫県・愛知県・東京都・神奈川県で事業を展開しています。2021年10月末時点の管理戸数は25,173戸です。業績推移を見ると、2019年3月期から、売上・利益ともに横ばいに推移しており、成長性に不安を感じます。	https://www.kk-choei.co.jp/
	CS-C											https://www.ipokiso.com/company/2021/cs-c.html		https://irbank.net//ir	ローカルビジネスに特化した統合型マーケティングSaaS『C-mo』、他	56.3		12月24日(金)	東証マザーズ	"[{""株主名"": ""（株）スマイルプラス"", ""比率"": 53.93, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""椙原 健（社長）"", ""比率"": 35.96, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""税理士法人NY    Accounting Partners"", ""比率"": 8.99, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""森田 大輔"", ""比率"": 0.22, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""宇田川 政幸"", ""比率"": 0.22, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""河野 圭介"", ""比率"": 0.22, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""林 宏一"", ""比率"": 0.18, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""森崎 明生"", ""比率"": 0.09, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""武川 良徳"", ""比率"": 0.09, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""前之園 哲嗣"", ""比率"": 0.09, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""経常利益（百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""当期純利益（百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""純資産額 （百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""1株あたりの純資産額（円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""1株あたりの純利益（円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""自己資本比率（％）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""自己資本利益率（％）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}]"	CS-C[シーエスシー]（9258）、店舗マーケティングのデジタルトランスフォーメーション（デジタル技術を用いて組織や製品・サービスを変革する）を実現するSaaS型総合マーケティングツール「C-mo」を提供しています。主なターゲットは、美容室およびネイルサロンなどが属するビューティー業界、およびグルメ業界です。トラベル業界、およびアパレル業界への進出も検討しています。	https://s-cs-c.com/
	サスメド											https://www.ipokiso.com/company/2021/susmed.html		https://irbank.net//ir	医療機器開発およびその協力、各種医療情報の収集・提供	203.7		12月24日(金)	東証マザーズ	"[{""株主名"": ""上野 太郎（社長）"", ""比率"": 48.2, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""Beyond Next    Ventures 1号投資事業有限責任組合"", ""比率"": 15.7, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""SBI    AI&Blockchain投資事業有 限責任組合"", ""比率"": 8.0, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""（株）スズケン"", ""比率"": 4.8, ""ロックアップ"": ""継続保有日間"", ""isCEO"": false}, {""株主名"": ""第一生命保険（株）"", ""比率"": 4.0, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""市川 太祐"", ""比率"": 2.8, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""本橋 智光"", ""比率"": 2.1, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""住友商事（株）"", ""比率"": 1.7, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""サワイグループホールディングス（株）"", ""比率"": 1.7, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""ソニーグループ（株）"", ""比率"": 1.2, ""ロックアップ"": ""90日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2018年6月"": null, ""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null}}, {""経常利益（百万円）"": {""2018年6月"": null, ""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null}}, {""当期純利益（百万円）"": {""2018年6月"": null, ""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null}}, {""純資産額 （百万円）"": {""2018年6月"": null, ""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null}}, {""1株あたりの純資産額（円）"": {""2018年6月"": null, ""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null}}, {""1株あたりの純利益（円）"": {""2018年6月"": null, ""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null}}, {""自己資本比率（％）"": {""2018年6月"": null, ""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null}}, {""自己資本利益率（％）"": {""2018年6月"": null, ""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null}}]"	サスメド（4263）、治療用アプリ開発をおこなう「DTxプロダクト事業」、臨床試験システムおよび機械学習自動分析システムの機能をそなえた「DTxプラットフォーム事業」を展開しています。業績推移を見てもわかるように、ようやく売り上げが立ってきて、これからという感じです。	https://www.susmed.co.jp/
	エフ・コード											https://www.ipokiso.com/company/2021/f-code.html		https://irbank.net//ir	『CODE Marketing Cloud』などのCX向上SaaSの提供、DX戦略設計・実行支援、顧客獲得・育成等のマーケティング支援	37.3		12月24日(金)	東証マザーズ	"[{""株主名"": ""工藤    勉（社長）"", ""比率"": 59.29, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""梅澤 康二"", ""比率"": 5.31, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""荒井 裕希"", ""比率"": 4.95, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）マイナビ"", ""比率"": 4.52, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""（株）リヴァンプ"", ""比率"": 4.26, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""平井 隆仁"", ""比率"": 3.12, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""須合 聡"", ""比率"": 2.92, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""長島 毅"", ""比率"": 2.15, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""衣笠 槙吾"", ""比率"": 1.41, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""大山 卓也"", ""比率"": 1.34, ""ロックアップ"": """", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""経常利益（百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""当期純利益（百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""純資産額 （百万円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""1株あたりの純資産額（円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""1株あたりの純利益（円）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""自己資本比率（％）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}, {""自己資本利益率（％）"": {""2017年12月"": null, ""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null}}]"	エフ・コード（9211）、CX（Customer Experience：顧客体験）の重要性に着目し、SaaS（インストールせずにネット経由で利用できる）型の「エントリーフォーム最適化ツール」、「ブラウウザプッシュ通知ツール」などを提供しています。また、他に「デジタル顧客獲得支援サービス」、「デジタル顧客育成支援サービス」などを提供しています。	https://f-code.co.jp/
	タカヨシ											https://www.ipokiso.com/company/2021/takayoshi.html		https://irbank.net//ir	地域の食の産直プラットフォーム型店舗『わくわく広場』の運営	77.5		12月24日(金)	東証マザーズ	"[{""株主名"": ""（株）スプリング"", ""比率"": 56.51, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""髙品 政明（社長）"", ""比率"": 15.39, ""ロックアップ"": ""90日間"", ""isCEO"": true}, {""株主名"": ""髙品 謙一"", ""比率"": 4.48, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""髙品 佳代"", ""比率"": 3.21, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""（株）千葉銀行"", ""比率"": 2.33, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""剱持 健"", ""比率"": 1.86, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""大森 広美"", ""比率"": 1.27, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""曽根田 博"", ""比率"": 1.27, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""澤幡 良和"", ""比率"": 1.27, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""佐藤 美智子"", ""比率"": 1.06, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}]"	"[{""営業収益（百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""経常利益（百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""当期純利益（百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""純資産額 （百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""1株あたりの純資産額（円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""1株あたりの純利益（円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""自己資本比率（％）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""自己資本利益率（％）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}]"	タカヨシ（9259）、地元生産者の商品を購入できる地域のセレクトショップ「わくわく広場」をショッピングモールなどに展開しています。2021年10月末時点で、全国に122店舗あります。業績推移を見ると、売上が頭打ち気味で、先行きにやや不透明感があります（2019年9月期から営業収益の表示方式が変更）。	https://takayoshi-inc.com/
	ニフティライフスタイル											https://www.ipokiso.com/company/2021/niftylifestyle.html		https://irbank.net//ir	WEBテクノロジーを活用し、生活を便利で豊かにする『行動支援サービス事業』	123.1		12月24日(金)	東証マザーズ	"[{""株主名"": ""ニフティ（株）"", ""比率"": 97.19, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""成田 隆志（社長）"", ""比率"": 0.49, ""ロックアップ"": ""継続保有"", ""isCEO"": true}, {""株主名"": ""広田 朋美"", ""比率"": 0.37, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""松澤 尚樹"", ""比率"": 0.34, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""野島 亮司"", ""比率"": 0.34, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""西 慶一郎"", ""比率"": 0.16, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""井口 康弘"", ""比率"": 0.14, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""伊藤 清一"", ""比率"": 0.11, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""守谷 和俊"", ""比率"": 0.1, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""深山 達郎"", ""比率"": 0.1, ""ロックアップ"": ""継続保有"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月  （第2四半期）"": null}}, {""経常利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月  （第2四半期）"": null}}, {""当期純利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月  （第2四半期）"": null}}, {""純資産額 （百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月  （第2四半期）"": null}}, {""1株あたりの純資産額（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月  （第2四半期）"": null}}, {""1株あたりの純利益（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月  （第2四半期）"": null}}, {""自己資本比率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月  （第2四半期）"": null}}, {""自己資本利益率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月  （第2四半期）"": null}}]"	ニフティライフスタイル（4262）、「行動支援プラットフォームサービス」では、大手ポータルサイトの情報をまとめて比較検討できる一括検索型サービス（ニフティ不動産・求人）、自社編集による情報を取りそろえた独自型サービス（ニフティ温泉）を提供しています。着実に売り上げ、利益ともに伸ばしており、今後の成長も期待できます。	https://niftylifestyle.co.jp/
	Green Earth Institute											https://www.ipokiso.com/company/2021/gei.html		https://irbank.net//ir	バイオリファイナリー技術を活用した、グリーン化学品の開発及び事業化	106.7		12月24日(金)	東証マザーズ	"[{""株主名"": ""UTEC２号投資事業有限責任組合"", ""比率"": 17.88, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""公益財団法人地球環境産業技術研究機構"", ""比率"": 17.33, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""伊原 智人（社長）"", ""比率"": 5.78, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""PNB-INSPiRE    Ethical Fund 1 投資事業有限責任組合"", ""比率"": 4.68, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""ニッセイ・キャピタル５号投資事業有限責任組合"", ""比率"": 4.42, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""DIC（株）"", ""比率"": 4.01, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""UMI１号投資事業有限責任組合"", ""比率"": 3.87, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""エア・ウォーター（株）"", ""比率"": 2.89, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""（株）新生銀行"", ""比率"": 2.69, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""川嶋 浩司"", ""比率"": 2.6, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""経常利益（百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""当期純利益（百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""純資産額 （百万円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""1株あたりの純資産額（円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""1株あたりの純利益（円）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""自己資本比率（％）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}, {""自己資本利益率（％）"": {""2017年9月"": null, ""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null}}]"	Green Earth Institute[グリーン アース インスティテュート]（9212）、コリネ型細菌という微生物を活用した高効率な発酵技術をコア技術とする技術開発型ベンチャーです。ビジネスモデルは、パートナー企業に技術ラインセンスを提供して利用収入を得る「ライセンス事業」と、バイオ燃料やグリーン化学品などを製造・販売する「品販売事業」の2つを軸とします。	http://gei.co.jp/ja/
