買	企業名	コード	ビジネスモデル	17業種	33業種	テンバガー指標	ノーバガー指標	PER	何倍株か	決算	決算伸び率%	IPO情報URL	有価証券報告書	IR	事業内容	想定時価総額（億円）	会社設立	上場日	市場	株主名と比率	企業業績のデータ（5年分）	管理人からのコメント	会社URL
	スマサポ											https://www.ipokiso.com/company/2022/sumasapo.html		https://irbank.net//ir	不動産管理業界に向けた複数ソリューション提供と入居者アプリ	17.9	2012年4月（11年目）	12月29日(木)	東証グロース	"[{""株主名"": ""（株）CABO    DA ROCA"", ""比率"": 33.31, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""太田 卓利"", ""比率"": 24.59, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""大東建託パートナーズ（株）"", ""比率"": 5.9, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""Hamagin DG    Innovation投資事業有限責任組合"", ""比率"": 4.92, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""小田 慎三（社長）"", ""比率"": 4.31, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""（株）DGベンチャーズ"", ""比率"": 2.95, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""藤井 裕介"", ""比率"": 2.84, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""太田 玲"", ""比率"": 2.66, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""NEXT    ONE有限責任事業組合"", ""比率"": 2.18, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""みずほ成長支援第4号投資事業有限責任組合"", ""比率"": 2.17, ""ロックアップ"": ""90日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null, ""2021年9月"": null}}, {""経常利益（百万円）"": {""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null, ""2021年9月"": null}}, {""当期純利益（百万円）"": {""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null, ""2021年9月"": null}}, {""純資産額 （百万円）"": {""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null, ""2021年9月"": null}}, {""1株あたりの純資産額（円）"": {""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null, ""2021年9月"": null}}, {""1株あたりの純利益（円）"": {""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null, ""2021年9月"": null}}, {""自己資本比率（％）"": {""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null, ""2021年9月"": null}}, {""自己資本利益率（％）"": {""2018年9月"": null, ""2019年9月"": null, ""2020年9月"": null, ""2021年9月"": null}}]"	スマサポ（9342）、入居時のお礼や満足度アンケート調査の代行やライフラインサポートなどの案内をする「スマサポサンキューコール」、入居者が賃貸借契約を締結してから発生する入居時点検、駐車場契約、近隣トラブルの相談などのやりとりがネット上でおこなえるアプリ「totono」を運営しています。直近の業績推移を見ると、売上は増加傾向にありますが、やや勢いにかげりが見えてきています。	https://www.sumasapo.co.jp/
	ELEMENTS											https://www.ipokiso.com/company/2022/elementsinc.html		https://irbank.net//ir	生体認証・画像解析・機械学習技術を活用した、オンライン本人確認サービス『LIQUID eKYC』などの個人認証ソリューションと、衣食住における個人最適化ソリューションの開発・提供	30.1	2013年12月（10年目）	12月27日(火)	東証グロース	"[{""株主名"": ""久田    康弘（社長）"", ""比率"": 34.41, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""UTEC3号投資事業有限責任組合"", ""比率"": 9.56, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""（株）BOC"", ""比率"": 6.88, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""加藤 寛之"", ""比率"": 4.41, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""山谷 明洋"", ""比率"": 4.41, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""伊藤忠商事（株）"", ""比率"": 3.68, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""上田八木短資（株）"", ""比率"": 3.24, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""コタエル信託（株）"", ""比率"": 2.94, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""鶴岡 章"", ""比率"": 2.13, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）電通国際情報サービス"", ""比率"": 1.84, ""ロックアップ"": """", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2018年11月"": null, ""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null}}, {""経常利益（百万円）"": {""2018年11月"": null, ""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null}}, {""当期純利益（百万円）"": {""2018年11月"": null, ""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null}}, {""純資産額 （百万円）"": {""2018年11月"": null, ""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null}}, {""1株あたりの純資産額（円）"": {""2018年11月"": null, ""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null}}, {""1株あたりの純利益（円）"": {""2018年11月"": null, ""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null}}, {""自己資本比率（％）"": {""2018年11月"": null, ""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null}}, {""自己資本利益率（％）"": {""2018年11月"": null, ""2019年11月"": null, ""2020年11月"": null, ""2021年11月"": null}}]"	ELEMENTS[エレメンツ]（5246）、「個人認証」と「個人最適化」の2つの解決策を提供しています。個人認証では、生体認証・画像解析・機械学習技術を活用した、オンライン本人確認サービス「LIQUID eKYC」で、あなたは誰かを証明しています。個人最適化では、各種アプリを通じて、あなただけの服、あなただけの店舗、あなただけの居場所を提案し、社会課題の解決へ取り組んでいます。	https://elementsinc.jp/
	BTM											https://www.ipokiso.com/company/2022/b-tm.html		https://irbank.net//ir	地方人財を活用したDX推進支援など	17.9	2011年8月（12年目）	12月27日(火)	東証グロース	"[{""株主名"": ""yoshida    investment（株）"", ""比率"": 42.47, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""吉田 悟"", ""比率"": 14.17, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""K&Pパートナーズ2号投資事業有限責任組合"", ""比率"": 12.55, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""田口 雅教（社長）"", ""比率"": 11.24, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""MTインベストメント（株）"", ""比率"": 8.69, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""懸川 高幸"", ""比率"": 3.71, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""小林 愛子"", ""比率"": 1.47, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""播口 暁"", ""比率"": 0.93, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""青木 学"", ""比率"": 0.81, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""岡 良一"", ""比率"": 0.81, ""ロックアップ"": ""継続保有"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""経常利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""当期純利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""純資産額 （百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純資産額（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純利益（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本比率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本利益率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}]"	BTM[ビーティーエム]（5247）、地方に拠点を置いて、DXにかかわる人材を提供する「ITエンジニアリングサービス」、DX推進に向けたコンサルティングや開発成果を提供する「DXソリューションサービス」を展開しています。直近の業績推移を見ると、売上は増加傾向にありますが、2023年3月期は増加幅が縮小するように見えます。	https://www.b-tm.co.jp/
	アルファパーチェス											https://www.ipokiso.com/company/2022/alphapurchase.html		https://irbank.net//ir	間接材の物販事業およびファシリティマネジメント事業	78.8	2010年11月（13年目）	12月26日(月)	東証スタンダード	"[{""株主名"": ""アスクル（株）"", ""比率"": 75.06, ""ロックアップ"": ""360日間"", ""isCEO"": false}, {""株主名"": ""アズワン（株）"", ""比率"": 8.91, ""ロックアップ"": ""360日間"", ""isCEO"": false}, {""株主名"": ""多田 雅之（社長）"", ""比率"": 3.81, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""田邉 孝夫"", ""比率"": 1.9, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""中川特殊鋼MROパートナーズ投資事業組合"", ""比率"": 1.49, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""齋藤 正弘"", ""比率"": 1.08, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""新日本実業（株）"", ""比率"": 0.75, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""佐藤 徳久"", ""比率"": 0.61, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""松木 伸男"", ""比率"": 0.51, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""土屋 亙"", ""比率"": 0.49, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""経常利益（百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""当期純利益（百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""純資産額 （百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""1株あたりの純資産額（円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""1株あたりの純利益（円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""自己資本比率（％）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""自己資本利益率（％）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}]"	アルファパーチェス（7115）、オフィス用品の通販大手アスクル（2678）の子会社で、インターネットを活用した間接材（売上や利益に直結しない工具や燃料など）の販売事業と、商業施設の内外装のほか、設備機器の新築、改装、修繕、清掃および運営支援、ならびに工事用建材を各店舗の工事日程にあわせて提供する事業を展開しています。直近の業績推移を見ると、売上・利益ともに頭打ち気味で、成長性はあまり感じられません。	https://www.alphapurchase.co.jp/
	ダイワ通信											https://www.ipokiso.com/company/2022/daiwawa.html		https://irbank.net//ir	セキュリティ事業（防犯・監視カメラなどの企画・販売・施工・保守、顔認証技術などを利用したソリューションの提供）、モバイル事業（携帯電話などの販売および代理店業務）	45.7	2016年3月（7年目）	12月26日(月)	東証スタンダード	"[{""株主名"": ""IWAMOTOアセットマネジメント（株）"", ""比率"": 51.02, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""岩本 秀成（社長）"", ""比率"": 41.37, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""前田 憲司"", ""比率"": 4.43, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""隈田 佳孝"", ""比率"": 2.44, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""多賀 勝用"", ""比率"": 0.74, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""経常利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""当期純利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""純資産額 （百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純資産額（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純利益（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本比率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本利益率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}]"	ダイワ通信（7116）、ソフトバンクの一次代理店として活動しているモバイル事業、防犯・監視カメラなどの販売および監視カメラシステムの施行・保守をおこなうセキュリティ事業を展開しています。	https://daiwawa.com/
	アップコン											https://www.ipokiso.com/company/2022/upcon.html		https://irbank.net//ir	土木工事業	17.9	2003年6月（20年目）	12月26日(月)	名証ネクスト	"[{""株主名"": ""松藤 展和（社長）"", ""比率"": 66.4, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""アクアプレコン株式会社"", ""比率"": 12.85, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""松藤 真弓"", ""比率"": 4.62, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""松藤 花梨"", ""比率"": 4.62, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""松藤 南輝"", ""比率"": 4.62, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""千家 道恵"", ""比率"": 1.85, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""飯塚 朋子"", ""比率"": 1.23, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""桑田 豪"", ""比率"": 0.92, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""江間 哲郎"", ""比率"": 0.92, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""川口 宏二"", ""比率"": 0.77, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年1月"": null, ""2020年1月"": null, ""2021年1月"": null, ""2022年1月"": null}}, {""経常利益（百万円）"": {""2019年1月"": null, ""2020年1月"": null, ""2021年1月"": null, ""2022年1月"": null}}, {""当期純利益（百万円）"": {""2019年1月"": null, ""2020年1月"": null, ""2021年1月"": null, ""2022年1月"": null}}, {""純資産額 （百万円）"": {""2019年1月"": null, ""2020年1月"": null, ""2021年1月"": null, ""2022年1月"": null}}, {""1株あたりの純資産額（円）"": {""2019年1月"": null, ""2020年1月"": null, ""2021年1月"": null, ""2022年1月"": null}}, {""1株あたりの純利益（円）"": {""2019年1月"": null, ""2020年1月"": null, ""2021年1月"": null, ""2022年1月"": null}}, {""自己資本比率（％）"": {""2019年1月"": null, ""2020年1月"": null, ""2021年1月"": null, ""2022年1月"": null}}, {""自己資本利益率（％）"": {""2019年1月"": null, ""2020年1月"": null, ""2021年1月"": null, ""2022年1月"": null}}]"	アップコン（5075）、地盤の不同沈下を原因として生じたコンクリート床の沈下・傾き・段差・空隙を、完全ノンフロンのウレタン樹脂、および小型機械を用いた独自の「アップコン工法」によって修正しています。直近の業績推移を見ると、業績の浮き沈みが目立ち、全体的に横ばいに推移しており、成長性は感じられません。また、土木業はIPO的に弱く、人気化は期待しづらいです。	https://www.upcon.co.jp/
	アソインターナショナル											https://www.ipokiso.com/company/2022/aso-inter.html		https://irbank.net//ir	矯正用歯科技工物の製造・販売	40.5	1988年5月（35年目）	12月23日(金)	東証スタンダード	"[{""株主名"": ""株式会社ASO"", ""比率"": 66.78, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""阿曽　敏正（社長）"", ""比率"": 28.62, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""内山 淳"", ""比率"": 0.69, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""詫麻 礼久"", ""比率"": 0.67, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""曽我 雄作"", ""比率"": 0.59, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""小林 隆子"", ""比率"": 0.59, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""加来 裕一"", ""比率"": 0.54, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""平野 拓幹"", ""比率"": 0.54, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""千葉 実"", ""比率"": 0.44, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""古川 一也"", ""比率"": 0.16, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null, ""2022年6月"": null}}, {""経常利益（百万円）"": {""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null, ""2022年6月"": null}}, {""当期純利益（百万円）"": {""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null, ""2022年6月"": null}}, {""純資産額 （百万円）"": {""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null, ""2022年6月"": null}}, {""1株あたりの純資産額（円）"": {""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null, ""2022年6月"": null}}, {""1株あたりの純利益（円）"": {""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null, ""2022年6月"": null}}, {""自己資本比率（％）"": {""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null, ""2022年6月"": null}}, {""自己資本利益率（％）"": {""2019年6月"": null, ""2020年6月"": null, ""2021年6月"": null, ""2022年6月"": null}}]"	アソインターナショナル（9340）、矯正歯科治療が必要な方に、オーダーメイドの歯科技工物を中心とした製品を提供しています。2022年10月末時点において、グループ外部の協力パートナーとして51カ所の歯科技工所と取引があり、内製と外注による製造のバランスを取っています。直近の業績推移を見ると、売上が頭打ち気味で、成長性はあまり感じられません。	https://www.aso-inter.co.jp/
	GENOVA											https://www.ipokiso.com/company/2022/genova.html		https://irbank.net//ir	医療情報サイト『Medical DOC』の運営および、クリニック向け自動受付精算機の販売など	297.6	2005年7月（18年目）	12月23日(金)	東証グロース	"[{""株主名"": ""平瀬    智樹（社長）"", ""比率"": 48.21, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""GENOVA 従業員持株会"", ""比率"": 12.74, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）平瀬商店"", ""比率"": 7.79, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""ドコモ・イノベーションファンド投資事業組合"", ""比率"": 4.68, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""タイムズイノベーションキャピタル合同会社"", ""比率"": 3.74, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""提橋 由幾"", ""比率"": 2.41, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""青山 圭秀"", ""比率"": 2.34, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""石田 克史"", ""比率"": 2.34, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）クレディセゾン"", ""比率"": 1.99, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株） LEOC"", ""比率"": 1.4, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""経常利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""当期純利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""純資産額 （百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純資産額（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純利益（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本比率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本利益率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}]"	GENOVA[ジェノヴァ]（9341）、自社メディア「Medical DOC」にて、医師が監修する医療情報記事の掲載や、著名人による闘病体験記事、未病への取り組み記事などを配信しています。収益は、自社メディアに医療機関の紹介記事を掲載することで得ています。直近の業績推移を見ると、売上・利益ともに右肩上がりで伸びており、今後の成長も十分に期待できます。	https://genova.co.jp/
	エージェント・インシュアランス・グループ											https://www.ipokiso.com/company/2022/a-gent.html		https://irbank.net//ir	個人および法人向けの保険代理業	14.8	2001年6月（22年目）	12月22日(木)	名証メイン	"[{""株主名"": ""住友生命保険相互会社"", ""比率"": 44.84, ""ロックアップ"": ""180日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""（株）ザ・ファーストドア"", ""比率"": 21.14, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""東京海上日動火災保険（株）"", ""比率"": 9.97, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""川野 潤子"", ""比率"": 3.39, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""一戸 敏（社長）"", ""比率"": 2.26, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""髙橋 真喜子"", ""比率"": 1.81, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""富野 喜幸"", ""比率"": 1.8, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""東京海上日動あんしん生命保険（株）"", ""比率"": 1.78, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""篠原 敬一"", ""比率"": 1.27, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""樋口 剛"", ""比率"": 1.03, ""ロックアップ"": """", ""isCEO"": false}]"	"[{""営業収益（百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""経常利益（百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""当期純利益（百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""純資産額 （百万円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""1株あたりの純資産額（円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""1株あたりの純利益（円）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""自己資本比率（％）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}, {""自己資本利益率（％）"": {""2018年12月"": null, ""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null}}]"	エージェント・インシュアランス・グループ（5836）、個人および法人向けの保険代理業を展開しています。2021年12月期の営業収益比率を見ると、国内が94.9％、海外が5.1％になっています。	https://a-gent.co.jp/
	jig.jp											https://www.ipokiso.com/company/2022/jig.html		https://irbank.net//ir	ライブ配信事業『ふわっち』を中心とした一般消費者向け関連事業および自治体向け・企業向け関連事業	130.4	2003年5月（20年目）	12月22日(木)	東証グロース	"[{""株主名"": ""福野 泰介"", ""比率"": 23.35, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""インキュベイトキャピタル5号投資事業有限責任組合"", ""比率"": 22.95, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""赤浦 徹"", ""比率"": 11.83, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""岸 周平"", ""比率"": 11.54, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""WiL Fund I,    L.P."", ""比率"": 9.17, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""蜂屋 浩一"", ""比率"": 8.2, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""B Dash    Fund3号投資事業有限責任組合"", ""比率"": 5.5, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""占部 哲之（社長）"", ""比率"": 1.4, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""（株）セレス"", ""比率"": 0.91, ""ロックアップ"": ""90日間\r\n    1.5倍"", ""isCEO"": false}, {""株主名"": ""野沢 知史"", ""比率"": 0.89, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""経常利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""当期純利益（百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""純資産額 （百万円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純資産額（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""1株あたりの純利益（円）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本比率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}, {""自己資本利益率（％）"": {""2019年3月"": null, ""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null}}]"	jig.jp[ジグジェイピー]（5244）、ライブ配信サービス「ふわっち」の提供や自治体・企業向けのサービスを提供しています。ふわっちはスマートフォンとパソコン対応しており、30～40代をメインターゲットにしています。収益は、視聴者が購入した有料アイテムから得ています。ふわっちでは、数百円から数千円程度の有料アイテムが用意されており、視聴者がライブ配信を盛り上げるために課金しています。2022年3月期現在、課金ユーザー数は3万人を超えています。	https://www.jig.jp/
