買	企業名	コード	ビジネスモデル	17業種	33業種	テンバガー指標	ノーバガー指標	PER	何倍株か	決算	決算伸び率%	IPO情報URL	有価証券報告書	IR	事業内容	想定時価総額（億円）	会社設立	上場日	市場	株主名と比率	企業業績のデータ（5年分）	管理人からのコメント	会社URL
	yutori	5892										https://www.ipokiso.com/company/2023/yutori.html	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SCQG.pdf	https://irbank.net/5892/ir	衣料品および雑貨などの企画ならびにそれらの小売・卸売事業	39.3	2018年4月（6年目）	12月27日(水)	東証グロース	"[{""株主名"": ""（株）ZOZO"", ""比率"": 46.63, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""片石 貴展（社長）"", ""比率"": 31.82, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""（株）pool"", ""比率"": 9.15, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""瀬之口 和磨"", ""比率"": 7.2, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""佐藤 祐介"", ""比率"": 0.7, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""濱田 栞"", ""比率"": 0.65, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""舩橋 誠"", ""比率"": 0.6, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""土田 天晴"", ""比率"": 0.55, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""穀本 周"", ""比率"": 0.54, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""青嶋 剣士郎"", ""比率"": 0.35, ""ロックアップ"": ""継続保有"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""経常利益（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""当期純利益（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""純資産額（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""1株あたりの純資産額（円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""1株あたりの純利益（円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""自己資本比率（％）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""自己資本利益率（％）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}]"	yutori[ユトリ]（5892）、衣料品および雑貨などの企画ならびにそれらの小売り・卸売り事業をおこなっています。取り扱いブランドは「9090」、「centimeter」、「nemne」、「PAMM」、「F-LAGSTU-F」、「Younger Song」、「HTH」などです。直近の業績推移を見ると、急激な右肩上がりで事業を拡大させていますが、これはM&Aによるものであり、今後も継続的にこのような事業拡大が実現できるかどうかは分かりません。	https://yutori.tokyo
	ナルネットコミュニケーションズ	5870										https://www.ipokiso.com/company/2023/nal-mt.html	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SC16.pdf	https://irbank.net/5870/ir	オートリース企業をはじめとする法人（自動車関連企業）・個人ユーザーに対する車両管理やメンテナンス管理事業	62.9	2019年7月（5年目）	12月25日(月)	東証グロース	"[{""株主名"": ""ジャフコSV6投資事業有限責任組合無限責任組合員 ジャフコ グループ（株）"", ""比率"": 47.35, ""ロックアップ"": ""90日間1.5倍"", ""isCEO"": false}, {""株主名"": ""Mobility & Maintenance Japan （株）代表取締役 合六 渉"", ""比率"": 34.56, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""ジャフコSV6-S投資事業有限責任組合無限責任組合員 ジャフコ グループ（株）"", ""比率"": 11.83, ""ロックアップ"": ""90日間1.5倍"", ""isCEO"": false}, {""株主名"": ""JIA1号投資事業有限責任組合無限責任組合員 JPE第2号（株）"", ""比率"": 1.13, ""ロックアップ"": ""90日間1.5倍"", ""isCEO"": false}, {""株主名"": ""あいぎんベンチャーファンド2号投資事業有限責任組合無限責任組合員 愛知キャピタル（株）"", ""比率"": 1.12, ""ロックアップ"": ""90日間1.5倍"", ""isCEO"": false}, {""株主名"": ""鈴木 隆志（社長）"", ""比率"": 0.72, ""ロックアップ"": ""継続保有"", ""isCEO"": true}, {""株主名"": ""東村 大介"", ""比率"": 0.72, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""服部 正次"", ""比率"": 0.72, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""永冶 健"", ""比率"": 0.72, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""大賀 正寛"", ""比率"": 0.27, ""ロックアップ"": ""継続保有"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""経常利益（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""当期純利益（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""純資産額（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""1株あたりの純資産額（円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""1株あたりの純利益（円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""自己資本比率（％）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""自己資本利益率（％）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}]"	ナルネットコミュニケーションズ（5870）、オートリース企業をはじめとする自動車関連企業に対して、車両管理およびメンテナンス管理などの業務を代わりに引き受けるサービスを提供しています。2022年3月期に連結化した会社の業績推移を見る限り、業績は上昇傾向にありますが、今後の成長性はそこまで感じられません。	https://www.nal-mt.co.jp/
	早稲田学習研究会	5869										https://www.ipokiso.com/company/2023/wasedazemi.html	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SBTP.pdf	https://irbank.net/5869/ir	小学生・中学生・高校生を対象とする学習塾事業の経営	92.9	1993年1月（31年目）	12月22日(金)	東証スタンダード	"[{""株主名"": ""吉原 俊夫"", ""比率"": 54.93, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""（株）YMM"", ""比率"": 45.07, ""ロックアップ"": ""90日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""経常利益（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""当期純利益（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""純資産額（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""1株あたりの純資産額（円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""1株あたりの純利益（円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""自己資本比率（％）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""自己資本利益率（％）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}]"	早稲田学習研究会（5869）、小中学生を対象に学力向上指導、中学生を対象に高校受験対策をおこなっている「W早稲田ゼミ」の運営、高校生を対象に大学受験対策をおこなっている「W早稲田ゼミハイスクール」の運営、小中高生を対象に個別指導をおこなっている「ファースト個別」の運営をおこなっています。直近の業績推移を見ると、売上の拡大ペースが緩やかになっており、今後の成長性を感じにくくなっています。	https://www.wasedazemi.com/
	ヒューマンテクノロジーズ	5621										https://www.ipokiso.com/company/2023/h-t.html	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SBM5.pdf	https://irbank.net/5621/ir	勤怠管理を中心としたクラウドサービスの開発および提供	85.5	2011年12月（12年目）	12月22日(金)	東証グロース	"[{""株主名"": ""ニューホライズン（株）"", ""比率"": 44.44, ""ロックアップ"": ""360日間"", ""isCEO"": false}, {""株主名"": ""恵志 章夫"", ""比率"": 22.22, ""ロックアップ"": ""360日間"", ""isCEO"": false}, {""株主名"": ""奥畑 和行"", ""比率"": 11.11, ""ロックアップ"": ""360日間"", ""isCEO"": false}, {""株主名"": ""飯泉 満"", ""比率"": 11.11, ""ロックアップ"": ""360日間"", ""isCEO"": false}, {""株主名"": ""渡邉 脩次"", ""比率"": 9.11, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""家﨑 晃一（社長）"", ""比率"": 1.0, ""ロックアップ"": ""360日間"", ""isCEO"": true}, {""株主名"": ""伊藤忠商事（株）"", ""比率"": 1.0, ""ロックアップ"": ""360日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""経常利益（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""当期純利益（百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""純資産額 （百万円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""1株あたりの純資産額（円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""1株あたりの純利益（円）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""自己資本比率（％）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}, {""自己資本利益率（％）"": {""2020年3月"": null, ""2021年3月"": null, ""2022年3月"": null, ""2023年3月"": null}}]"	ヒューマンテクノロジーズ（5621）は、クラウド勤怠管理システム「KING OF TIME」を運営しています。勤怠管理のほか、人事管理、給与計算、データ分析なども実装されており、充実した機能が売りです。直近の業績推移を見ると、右肩上がりで業績を拡大させており、今後の成長性も感じられます。	https://www.h-t.co.jp/
	マーソ	5619										https://www.ipokiso.com/company/2023/mrso.html	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SBM6.pdf	https://irbank.net/5619/ir	人間ドック・健診の予約プラットフォーム『MRSO.jp』および各種DX支援サービスの開発・運営など	74.5	2015年2月（9年目）	12月21日(木)	東証グロース	"[{""株主名"": ""西野 恒五郎（社長）"", ""比率"": 40.13, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""三和システム（株）"", ""比率"": 20.88, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""ジャフコSV4共有投資事業有限責任組合"", ""比率"": 10.1, ""ロックアップ"": ""90日間1.5倍"", ""isCEO"": false}, {""株主名"": ""神田 有宏"", ""比率"": 9.08, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""Aflac Ventures LLC"", ""比率"": 6.28, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""阿部 順一"", ""比率"": 4.16, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""菅生 淳一"", ""比率"": 2.44, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""森トラスト（株）"", ""比率"": 2.02, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）ウエスト・プラニング"", ""比率"": 1.01, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""吉田 弘"", ""比率"": 0.58, ""ロックアップ"": """", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""経常利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""当期純利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""純資産額（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純資産額（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純利益（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本比率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本利益率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}]"	マーソ（5619）、人間ドック、健診予約システムなどの提供を通じて、顧客のマーケティング活動とDXサービスを提供しています。直近の業績推移を見ると、2021年12月から大きく売り上げを伸ばしています。これは2021年に新型コロナウイルスなどのワクチン接種に関するWEB予約サービスの提供を開始した影響が大きいと思います。	https://www.mrso.co.jp/
	ナイル	5618										https://www.ipokiso.com/company/2023/nyle.html	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SBC4.pdf	https://irbank.net/5618/ir	自動車産業DX事業（オンライン主体のマイカーサブスク関連サービスを提供）、ホリゾンタルDX事業（DX・マーケティングに関するコンサルティングなどを提供）	137.8	2007年1月（17年目）	12月20日(水)	東証グロース	"[{""株主名"": ""高橋 飛翔（社長）"", ""比率"": 43.13, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""JICベンチャー・グロース・ファンド1号投資事業有限責任組合"", ""比率"": 13.83, ""ロックアップ"": ""90日間1.5倍"", ""isCEO"": false}, {""株主名"": ""（株）SMBC信託銀行"", ""比率"": 6.75, ""ロックアップ"": ""90日間1.5倍"", ""isCEO"": false}, {""株主名"": ""（株）セプテーニ・ホールディングス"", ""比率"": 4.57, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""SBI AI&Blockchain投資事業有限責任組合"", ""比率"": 4.49, ""ロックアップ"": ""90日間1.5倍"", ""isCEO"": false}, {""株主名"": ""榎並 慶浩(受託者)"", ""比率"": 3.06, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""EEI4号イノベーション&インパクト投資事業有限責任組合"", ""比率"": 2.74, ""ロックアップ"": ""90日間1.5倍"", ""isCEO"": false}, {""株主名"": ""DIMENSION投資事業有限責任組合"", ""比率"": 1.92, ""ロックアップ"": ""90日間1.5倍"", ""isCEO"": false}, {""株主名"": ""（株）博報堂DYメディアパートナーズ"", ""比率"": 1.92, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）アニヴェルセルHOLDINGS"", ""比率"": 1.79, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""経常利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""当期純利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""純資産額（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純資産額（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純利益（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本比率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本利益率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}]"	ナイル（5618）、DXやマーケティングの技術、ノウハウを活かしたコンサルティングサービスの提供、複数のメディアの開発、運営およびデジタル広告に関する解決策の提供、マイカーのサブスクリプションに関する車探しから料金シミュレーション、申し込み手続きのオンライン対応サービスを提供しています。直近の業績推移を見ると、急激な右肩上がりで事業規模を拡大させており、今後の成長性にも期待が持てます。ただ、売上に対する赤字額が大きいので黒字化までの不透明感はあります。	https://nyle.co.jp/
	ロココ	5868										https://www.ipokiso.com/company/2023/rococo.html	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SB5T.pdf	https://irbank.net/5868/ir	ITアウトソーシング・BPOサービスおよびシステム開発・保守・導入支援など	24.9	1994年6月（30年目）	12月20日(水)	東証スタンダード	"[{""株主名"": ""（株）イッシン"", ""比率"": 46.16, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""長谷川 一彦（社長）"", ""比率"": 22.72, ""ロックアップ"": ""90日間"", ""isCEO"": true}, {""株主名"": ""長谷川 裕美"", ""比率"": 3.55, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""吉原 美智代"", ""比率"": 3.49, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""加藤 芳男"", ""比率"": 1.78, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""西本 憲二"", ""比率"": 1.51, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""河村 博文"", ""比率"": 1.36, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""長谷川 昭次"", ""比率"": 1.07, ""ロックアップ"": ""90日間"", ""isCEO"": false}, {""株主名"": ""ロココ社員持株会"", ""比率"": 0.92, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""長谷川 正人"", ""比率"": 0.71, ""ロックアップ"": ""90日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""経常利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""当期純利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""純資産額（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純資産額（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純利益（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本比率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本利益率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}]"	ロココ（5868）、IT人材の常駐によるアウトソーシングサービス、コールセンター・BPOサービス、ライブチケットの配席管理サービスを提供しています。直近の業績推移を見ると、業績は右肩上がりで成長しており、今後の成長性も感じられます。	https://www.rococo.co.jp
	エスネットワークス	5867										https://www.ipokiso.com/company/2023/esnet.html	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SB5X.pdf	https://irbank.net/5867/ir	財務・会計分野を中心とした実務実行支援型コンサルティングサービスの提供	21.3	1999年10月（25年目）	12月19日(火)	東証グロース	"[{""株主名"": ""（株）58"", ""比率"": 31.43, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）須原屋"", ""比率"": 15.45, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""佐藤 英志"", ""比率"": 6.73, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""須原 伸太郎"", ""比率"": 5.53, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""エスネットワークスグループ社員持株会"", ""比率"": 5.03, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""セキュア・ベース（株）"", ""比率"": 4.9, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""宮部 賢一"", ""比率"": 4.72, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""高畠 義紀（社長）"", ""比率"": 3.59, ""ロックアップ"": ""継続保有"", ""isCEO"": true}, {""株主名"": ""パーソルキャリア（株）"", ""比率"": 2.99, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""宇野 康秀"", ""比率"": 2.39, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""経常利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""当期純利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""純資産額（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純資産額（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純利益（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本比率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本利益率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}]"	エスネットワークス（5867）、経営支援コンサル、再生支援コンサル、海外進出支援コンサルを提供するコンサルティング事業、成長可能性のある企業に対して投資をおこなうとともに、経営人材の派遣や経営支援をおこなうことで対象企業の企業価値向上をねらう投資事業を展開しています。直近の業績推移を見る限り、売り上げが横ばいに推移しており、今後の成長性はあまり感じられません。	https://esnet.co.jp/
	雨風太陽	5616										https://www.ipokiso.com/company/2023/ame-kaze-taiyo.html	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100S9MV.pdf	https://irbank.net/5616/ir	CtoCプラットフォーム『ポケットマルシェ』運営、生産者の販路拡大などを目的とした自治体向け支援サービス、生産者のもとで学ぶ地方留学プログラムの提供など	19.8	2015年2月（9年目）	12月18日(月)	東証グロース	"[{""株主名"": ""PNB-INSPiRE Ethical Fund 1 投資事業有限責任組合"", ""比率"": 14.87, ""ロックアップ"": ""90日間\r\n1.5倍"", ""isCEO"": false}, {""株主名"": ""髙橋 博之（社長）"", ""比率"": 13.18, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""小橋工業（株）"", ""比率"": 11.47, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）丸井グループ"", ""比率"": 7.83, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""大塚 泰造"", ""比率"": 7.71, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""アグリビジネス投資育成（株）(農林中央金庫信託口)"", ""比率"": 3.63, ""ロックアップ"": ""90日間\r\n1.5倍"", ""isCEO"": false}, {""株主名"": ""本間 勇輝"", ""比率"": 3.53, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""（株）メルカリ"", ""比率"": 3.52, ""ロックアップ"": """", ""isCEO"": false}, {""株主名"": ""（株）ユーグレナ"", ""比率"": 3.52, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""永田 暁彦"", ""比率"": 2.57, ""ロックアップ"": ""180日間"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""経常利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""当期純利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""純資産額（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純資産額（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純利益（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本比率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本利益率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}]"	雨風太陽[あめかぜたいよう]（5616）、生産者から一次産品（加工されていない産出品）を直接購入できるプラットフォーム「ポケットマルシェ」の運営などをおこなっています。収益モデルは商品代金に応じた手数料収入となっています。直近の業績推移を見ると、右肩上がりで事業規模を拡大させていますが、売り上げに対する赤字額が大きく、先行きに不透明感があります。	https://ame-kaze-taiyo.jp/
	魁力屋	5891										https://www.ipokiso.com/company/2023/kairikiya.html	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100S88A.pdf	https://irbank.net/5891/ir	ラーメンチェーン展開などの飲食事業	70.8	2003年2月（21年目）	12月15日(金)	東証スタンダード	"[{""株主名"": ""(株)マルフジコーポレーション"", ""比率"": 64.46, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""藤田 宗（社長）"", ""比率"": 28.21, ""ロックアップ"": ""180日間"", ""isCEO"": true}, {""株主名"": ""丸本 純平"", ""比率"": 1.05, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""田口 剛"", ""比率"": 0.77, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""河原 智彦"", ""比率"": 0.56, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""赤松 繁男"", ""比率"": 0.49, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""(株)大垣書店"", ""比率"": 0.46, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""大和商工(株)"", ""比率"": 0.46, ""ロックアップ"": ""180日間"", ""isCEO"": false}, {""株主名"": ""松浦 基之"", ""比率"": 0.46, ""ロックアップ"": ""継続保有"", ""isCEO"": false}, {""株主名"": ""濱口 孝之"", ""比率"": 0.42, ""ロックアップ"": ""継続保有"", ""isCEO"": false}]"	"[{""売上高（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""経常利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""当期純利益（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""純資産額（百万円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純資産額（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""1株あたりの純利益（円）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本比率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}, {""自己資本利益率（％）"": {""2019年12月"": null, ""2020年12月"": null, ""2021年12月"": null, ""2022年12月"": null}}]"	魁力屋[カイリキヤ]（5891）、「京都背脂醤油ラーメン」を主力商品とする「京都北白川ラーメン魁力屋」を運営しています。直近の業績推移を見ると、売り上げは横ばい気味で推移していますが、2022年12月期から2023年第3四半期にかけては上昇しています。	https://www.kairikiya.co.jp/
