項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社及び関係会社５社により構成されており、車関連及びアウトドア・レジャー・スポーツ関連事業を営んでおります。当社グループの事業に係る位置付け及びセグメントとの関連は、次のとおりであります。なお、セグメントと同一の区分であります。(1) 車関連事業当事業においては、車用品、運搬架台・タイヤ滑止、ケミカル類、電子・電気機器の各部門の製品を製造・販売しており、全体の売上の約９割を占めている当社グループの主力事業であります。(主な関係会社)Car Mate USA,Inc.(米国)は海外現地法人であり、主に販売を行っております。快美特汽車精品(深セン)有限公司(中国)(CARMATE CAR ACCESSORIES CO., LTD.100％所有の間接子会社)では主に車用品の製造を行っております。カーメイト物流㈱は主に当事業製品の物流業務を行っております。(2) アウトドア・レジャー・スポーツ関連事業当事業においては、スノーボード関係を中心としたスポーツ用品等の製造・販売及び自転車関連商品の販売をしております。(主な関係会社)快美特汽車精品(深セン)有限公司では、一部当事業製品の製造・販売を行っております。カーメイト物流㈱では、一部当事業製品の物流業務を行っております。 事業の系統図は次のとおりであります。 （注）上記の他に当社の議決権の38.9％を有している関係会社(有)エム・テイ興産があります。
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。(1)経営方針及び目標とする経営指標　当社は快適なカーライフを通じて豊かで幸せな社会を実現するため、創業以来「ＣＲＥＡＴＥ―創造―」を企業理念にすえ、社会に貢献できる、お客様に納得・満足して頂ける、環境に配慮した、「安全・安心なモノづくり」を目指しております。また企業価値の増大を図ることにより、株主・取引先など当社に関係するすべての人々の信頼と期待に応えることを企業としての行動指針としております。  当社は、株主重視の観点から高収益体質の実現と株主資本の効率化を追求した経営を重視しており、売上高経常利益率10％以上、自己資本利益率10％以上、１株当たり当期純利益金額100円以上を経営目標として設定しております。(2)経営環境及び対処すべき課題　当連結会計年度におけるわが国経済は、新型コロナウイルス感染症の５類移行により、行動制限が緩和されたことにより経済活動も緩やかに回復するなど明るい兆しも見られました。しかしながら国内外において資源・エネルギー価格や原材料価格の高騰による影響を受けており、またウクライナ情勢の長期化、中東地域をめぐる情勢、加えて円安の影響などもあり、当社グループを取り巻く経営環境は厳しい状況で推移しました。このような状況下にあって当社グループは、引き続きトータルコストの削減を推進する一方、新技術・新発想による安全・安心品質のモノづくり、廃棄ゼロなどを目標としたサステナビリティの強化、海外売上の拡大に取り組んでまいりました。また、新型コロナウイルス対策として引き続き、従業員の健康と安全を第一に考え在宅勤務や時差出勤の実施などにより感染リスクの低減に努めてまいりました。当社グループは製品の用途・性質の類似性を考慮し、「車関連事業」と「アウトドア・レジャー・スポーツ関連事業」の２事業に分類し、当該２事業を報告セグメントとしております。「車関連事業」におきましては、ドリンクホルダーやスマートフォンホルダーなどの車内アクセサリー、チャイルドシート、ルーフキャリア、タイヤチェーン、芳香剤や除菌・消臭剤などのケミカル類、ドライブレコーダー、ランプ類、「アウトドア・レジャー・スポーツ関連事業」におきましてはスノーボード関連用品など、多種多様な製品の開発製造を行っており、カー用品専門店、ホームセンター、ドラッグストア、ベビー用品店、スポーツ用品店やＥＣルートなどにて取り扱っていただいております。今後の経済情勢につきましては、国内では企業収益が改善し、雇用・所得環境も改善するなか、社会・経済活動の持ち直しが期待されます。その一方で、原油・原材料価格の高騰や地政学リスク、為替変動リスク、海外における金融不安の拡大懸念など、依然として先行き不透明な状況が続くものと予想されます。このような情勢下において当社グループは、従来より課題と認識していた、新製品・新サービスの市場導入強化、安全・安心なモノづくり、サステナビリティの強化、海外市場への積極的な展開による輸出の増加、新規チャネル・新規顧客の開拓、新ビジネスモデルへの取り組みを継続してまいります。 
事業等のリスク	 ３ 【事業等のリスク】    文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。 １．売上高の季節的変動について当社グループの売上高は、冬季製品（スキーキャリア・タイヤ滑止等）の占める割合が高いため、連結会計年度の下期の割合が高くなる傾向にあり、また、冬季の降雪量の多寡により業績が影響を受けることがあります。この偏重を解消していくため、年間を通して販売が見込める新製品・新サービスの開発に取り組んでまいります。　上期と下期の売上高割合は次のとおりであります。（単位：千円）期　　別上　　期下　　期通　　期2022年３月期6,972,957（43.8％）8,947,867（56.2％）15,920,824（100.0％）2023年３月期7,052,593（42.4％）9,596,250（57.6％）16,648,844（100.0％）2024年３月期7,314,686（45.8％）8,641,132（54.2％）15,955,819（100.0％）  ２．特定取引先への依存度について当社の主要な販売先は、株式会社オートバックスセブン、株式会社イエローハットのカー用品専門店２社であります。２社への販売実績及びそれぞれの総販売実績に対する割合は次のとおりであります。カー用品専門店への依存度を分散させていくため、ＥＣルート、ホームセンター、ドラッグストア等への販売強化に取り組んでおります。 相手先前連結会計年度当連結会計年度販売高(千円)割合(％)販売高(千円)割合(％)株式会社オートバックスセブン3,065,13518.42,754,34417.3株式会社イエローハット1,280,1187.71,210,3357.6  また、当社グループは、原材料等の仕入れのおおよそ45％を海外から調達しており、その大半を中国が占めております。新型コロナウイルスや新型インフルエンザ、その他の感染症の拡大により、特定地域の経済活動が長期間制限を受けた場合、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。このリスクに対応するため国内の既存仕入先からも代替調達できるよう体制整備に取り組んでまいります。 ３．為替リスクについて当社グループは、原材料等の仕入れのおおよそ45％を海外から調達しております。その決済について、急激な為替相場変動があった場合、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。このリスクに対応するため、一部先物予約等で為替変動リスクを軽減させております。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】     文中の将来に関する事項は、当連結会計年度末において判断したものであります。(経営成績等の状況の概要)　当連結会計年度における当社グループ（当社及び連結子会社)の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。(1) 業績 　当連結会計年度における売上高は車関連事業、アウトドア・レジャー・スポーツ関連事業ともに減収となり、15,955,819千円(前年同期比4.2％減)となりました。損益面につきましては、販売費及び一般管理費は減少しましたが、原価率の悪化により、営業利益は219,525千円(前年同期比53.6％減）、経常利益は321,663千円(前年同期比45.1％減)となりました。親会社株主に帰属する当期純利益は212,482千円（前年同期比41.3％減）となりました。 セグメントの業績は次のとおりであります。①車関連事業当セグメントにつきましては、アウトドアブームが落ち着いたことにより運搬架台類、首都圏において纏まった降雪が無かったためタイヤチェーン、暖冬の影響によりエンジンスターターが減収となったため、当事業の売上高は14,380,812千円(前年同期比3.5％減)となりました。営業利益は販売費及び一般管理費は減少しましたが、原価率の悪化により1,125,527千円(前年同期比13.3％減)となりました。②アウトドア・レジャー・スポーツ関連事業当セグメントにつきましては、主力のスノーボード関連製品、自転車関連商品ともに減収となり、当事業の売上高は1,575,006千円(前年同期比9.5％減)となりました。営業利益は原価率は改善したものの減収による売上総利益の減少により136,745千円(前年同期比17.2％減)となりました。  (2) キャッシュ・フローの状況当連結会計年度におけるキャッシュ・フローの状況につきましては、税金等調整前当期純利益を322,546千円計上し、減価償却費等の非資金項目の修正による増加、仕入債務の減少による減少などにより、現金及び現金同等物（以下「資金」という。）は前連結会計年度末に比べ520,897千円減少し、当連結会計年度末におきましては9,200,288千円となりました。　営業活動によるキャッシュ・フローは、税金等調整前当期純利益を322,546千円計上し、減価償却費等の非資金項目の修正による増加、売上債権の減少による増加、仕入債務の減少による減少、法人税等の支払などにより、得られた資金は175,202千円(前年同期使用した資金は541,933千円)となりました。　投資活動によるキャッシュ・フローは、金型を中心とした有形固定資産の取得による支出、定期預金の預入による支出等により、使用した資金は593,194千円(前年同期比424,254千円の増加)となりました。　財務活動によるキャッシュ・フローは、配当金の支払額があり、使用した資金は227,270千円(前年同期比39,873千円の増加)となりました。　 (生産、受注及び販売の状況)(1) 生産実績当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称生産高(千円)前年同期比(％)車関連事業14,309,416△6.7アウトドア・レジャー・スポーツ関連事業1,755,396△7.5合計16,064,812△6.8 (注) １　金額は販売価格によっております。 (2) 受注実績当社グループの一部製品については、内示に基づく見込生産を行っております。実際の納入は内示と異なる場合もあり、受注高及び受注残高を算出することは困難であることから、記載を省略しております。 (3) 販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称販売高(千円)前年同期比(％)車関連事業14,380,812△3.5アウトドア・レジャー・スポーツ関連事業1,575,006△9.5合計15,955,819△4.2 (注) １　金額は販売価格によっております。２　主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合 相手先前連結会計年度当連結会計年度販売高(千円)割合(％)販売高(千円)割合(％)株式会社オートバックスセブン3,065,13518.42,754,34417.3アマゾンジャパン合同会社――1,872,38311.7 　　　　　(注) １　前連結会計年度のアマゾンジャパン合同会社は10％未満であるため記載を省略しております。  (経営者の視点による経営成績等の状況に関する分析・検討内容)①　財政状態(資産)当連結会計年度末の流動資産は、現金及び預金の減少405,860千円、売掛金の減少360,463千円、受取手形の増加230,620千円の増加等があり、17,122,493千円(前年度末比489,873千円減)となりました。固定資産は、工具、器具及び備品の減少50,982千円がありましたが、投資有価証券の増加161,969千円、使用権資産の増加77,106千円があり3,559,886千円(前年度末比311,532千円増)となりました。　以上の結果、当連結会計年度末の総資産は20,682,379千円(前年度末比178,341千円減)となりました。　　(負債)　当連結会計年度末の流動負債は、電子記録債務の減少438,090千円、１年内償還予定の社債の減少370,000千円があり、2,871,009千円(前年度末比825,283千円減)となりました。固定負債は、社債の増加370,000千円等があり3,112,666千円(前年度末比436,538千円増)となりました。　その結果、当連結会計年度末における負債合計は5,983,676千円(前年度末比388,745千円減)となりました。(純資産)当連結会計年度末の純資産は、親会社株主に帰属する当期純利益212,482千円による利益剰余金の増加、その他有価証券評価差額金の増加112,434千円、為替換算調整勘定の増加97,162千円、配当金支払211,620千円による利益剰余金の減少により14,698,703千円(前年度末比210,404千円増)となり、１株当たり純資産額は2,083円74銭(前年度末比29円85銭増)となりました。　なお、上記資産・負債等の状況により当連結会計年度末の流動比率は596.4％(前連結会計年度476.5％)、借入金依存度は7.7％(前連結会計年度7.6％）となりました。 ②　キャッシュ・フローの状況の分析　当連結会計年度における現金及び現金同等物の期末残高は520,897千円減少し9,200,288千円となりました。　(営業活動によるキャッシュ・フロー)　営業活動によるキャッシュ・フローは、税金等調整前当期純利益を322,546千円計上し、減価償却費の非資金項目の調整による増加422,060千円、売上債権の減少による増加165,294千円、仕入債務の減少による減少682,620千円があり、得られた現金及び現金同等物は175,202千円（前年同期使用した資金は541,933千円）となりました。　(投資活動によるキャッシュ・フロー)　投資活動によるキャッシュ・フローは、有形固定資産の取得による支出442,263千円等があり、使用した現金及び現金同等物は前年同期に比べ424,254千円増加の593,194千円となりました。　(財務活動によるキャッシュ・フロー)　財務活動によるキャッシュ・フローは、配当金の支払額211,628千円等があり、使用した現金及び現金同等物は前年同期に比べ39,873千円増加の227,270千円となりました。　　なお、2024年３月31日現在、提出会社におきまして重要な設備（金型等）の新設を計画しております。その資金調達方法につきましては自己資金からの支出を予定しております。　当社は、資金需要に対応するための資金は、原則として営業活動によるキャッシュ・フローを財源としますが、多額な資金需要が発生した場合は流動性の確保及び財務の健全性・安定性を維持するため、金融機関から資金調達を行う方針です。また緊急的資金需要に対応するためコミットメントライン契約を締結しております。   ③　経営成績　(売上高)当連結会計年度におきましては、新製品・新サービスの市場導入強化、安全・安心なモノづくり、リモート商談の活用による海外売上の拡大、新規チャネル・新規顧客の開拓などを実施してまいりました。その結果、アウトドアブームが落ち着いたことにより運搬架台類、首都圏において纏まった降雪が無かったためタイヤチェーン、暖冬の影響によりエンジンスターターが減収となったため、車関連事業の売上高は14,380,812千円(前年同期比3.5％減)となりました。またアウトドア・レジャー・スポーツ関連事業につきましては、主力のスノーボード関連製品、自転車関連商品ともに減収となり、当事業の売上高は1,575,006千円(前年同期比9.5％減)となりました。報告セグメント合計売上高は15,955,819千円(前年同期比4.2％減)となりました。　(売上原価)　当連結会計年度は、売上高に対する原価率は円安及び原材料価格上昇の影響により前連結会計年度に比べ1.6ポイント悪化し64.7％となりました。　(売上総利益)　以上の結果、売上総利益は前連結会計年度に比べ507,538千円減少の5,634,364千円となり、売上総利益率は、前連結会計年度に比べ1.6ポイント悪化し35.3％となりました。　(販売費及び一般管理費)　販売費及び一般管理費は、広告宣伝費、研究開発費などが減少し5,414,838千円(前年同期比253,591千円減)となりました。売上高に対する負担率は33.9％となり、前連結会計年度に比べ0.1ポイント減少しております。　(営業利益)　以上の結果、売上総利益から販売費及び一般管理費を控除した営業利益は219,525千円(前年同期比253,946千円減)となりました。　(営業外収益・費用)　当連結会計年度の営業外収益から営業外費用を控除した額は補助金収入が減少したこと等により、102,137千円となりました。前連結会計年度に比べ10,299千円の悪化となりました。　(経常利益)　営業利益に営業外収益・営業外費用を加減した経常利益は321,663千円(前年同期比264,246千円減)となりました。　(特別損益)　当連結会計年度における特別利益は、固定資産売却益2,145千円(前年同期比2,353千円減)となり、特別損失は、固定資産除却損1,262千円があり、前年同期比5,265千円の減少となりました。　(親会社株主に帰属する当期純利益)　経常利益に特別利益・特別損失を加減した税金等調整前当期純利益は322,546千円(前年同期比261,334千円減)となりました。税金等調整前当期純利益から法人税、住民税及び事業税等を控除した結果、親会社株主に帰属する当期純利益は212,482千円(前年同期比149,401千円減)となりました。以上により、当連結会計年度の売上高経常利益率は2.0％、自己資本利益率は1.5％、１株当たり当期純利益金額30.12円となりました。今後これらの指標をさらに向上させるため、品質管理の強化を最優先課題と捉え対処していくことと並行して、新製品・新サービスの市場導入強化による売上の拡大及び原価低減、効率化による販売費及び一般管理費の削減、資産の有効活用等に取り組んでまいります。なお、当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成しております。この連結財務諸表を作成するにあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。連結財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５　経理の状況　１　連結財務諸表等　（１）連結財務諸表　注記事項　（重要な会計上の見積り）」に記載しております。  
経営上の重要な契約等	５ 【経営上の重要な契約等】該当事項はありません。  
研究開発活動	６ 【研究開発活動】当社グループの研究開発活動は、未来開発センターなどの次世代製品研究部門と11ジャンルの製品開発部門の二本立てで進めており、製品開発は日本と中国での二極体制で行っております。 ① 車内小物用品、オートスポーツ用品 ② チャイルドシート、ジュニアシート、チャイルド用品③ 自動車メーカー向け純正用品④ ルーフキャリア、ルーフボックス、ロッドホルダー⑤ タイヤチェーン⑥ 芳香剤⑦ ケミカル用品、消臭剤、エアコンフィルター⑧ エレクトロニクス用品（ドライブレコーダー、エンジンスターター、ＧＰＳ端末） ⑨ ライティング用品（ＨＩＤ、ＬＥＤバルブ、ハロゲンバルブ）⑩ スノーボード、バインディング、ブーツ  当社の研究開発部門には「機械系」「ケミカル系」「繊維系」「エレクトロニクス系」「ソフトウェア系」「光学系」および「知財系」「開発サポート系」の技術者が総勢100数名所属しており、市場競争力のある製品をスピーディーに生み出すため体制は年度毎に見直しております。一方、当社連結子会社である中国の快美特汽車精品(深セン)有限公司では日本人および中国人技術者総勢30数名の体制で、中国国内ならびに日本国内向けの製品開発を行っております。 製品開発は「ユーザーニーズ・ウォンツを取り込むこと」を主体に、製品毎にプランナー・デザイナー・エンジニアがそれぞれに関わり合った形で行われ、いずれの製品ジャンルにおいても競争力の高い製品に仕上げるために、「安全・安心品質」と「お客様が認める価値の創出」をテーマに、「技術融合でオンリーカーメイトな新用品」の開発を目指しております。新製品は「車内小物用品」「芳香剤」「消臭剤」「ケミカル用品」を中心として毎年春と秋に発売しており、当連結会計年度も多数の新製品を発売しました。 「車内小物用品」は、新たに電動開閉フタ付きコンソール等新機能を盛り込んだ車種専用品等を投入し、順調に推移しております。また、ルームミラー市場に対しても、軽量のクリアフレームリアビューミラーや電子ミラー用のサブミラーの新製品を発売しました。オートスポーツは国内向けに関しては、人気が高いSUVをターゲットとしたクロスエディションペダルシリーズが好調であり、海外向けに関しては、米国の新車販売の好調と円安の影響により売上・利益に共に良好でした。「チャイルド用品」は、幼児用チャイルドシート「パパットR」を発売し、新安全基準R129に適合した製品を拡充しました。また、当社として初の自社開発抱っこ紐「ベビーキャリア　スリー」を発売。日本人の体型に合わせた設計や肩や腰への負担が少ない快適な機能が好評を得ています。 「ルーフキャリア」は、SDGｓの取り組みの一環として販売数量の最も多い、全ベーシックキャリアのパッケージを順次エコパッケージ化いたします。緩衝材として使用していたプラスチックの廃止、茶色ダンボールパッケージの採用に移行しています。また新製品は人気のルーフデッキや大型のルーフボックスなどプレミアムカテゴリーへの製品投入を予定しています。 「芳香剤」は、最近のトレンドを商品に落とし込んだ「ブラング　エモーショナルシリーズ」を発売しました。様々なチェーン店様でお取り扱い頂き、「エモーショナルシリーズ専用売り場」を作成して頂いておりますチェーン店様もあり、ユーザー様にもご好評頂いております。「消臭剤」は人気の車用消臭剤シリーズドクターデオ最新作「プレミアムゴールド」がヒットし24年春に追加ラインナップを発売しました。「ケミカル用品」は、ジャパンモビリティショーに出展して大好評だった、雨がつかない超撥水フィルムのゼロワイパーサイドミラー用を発売しました。  「エレクトロニクス用品」は、交差点の信号機や隣車線など「ひろ」く撮り、夜間でも前・後車両のナンバープレートなどがしっかり「みえ」る、「ひろ」×「みえ」がコンセプトの前後2カメラドライブレコーダー（ダクション D（DC2000R）を発売し、ジャパンモビリティショーおよび米国SEMAショーやCESショーに展示致しました。「エンジンスターター」は、自動車のバッテリー保護の観点から消費電力を従来品比1/10まで抑えた新製品「TE-L60シリーズ」を発売しました。特に同シリーズのプッシュスタート車用モデルは、取り付けに必要なパーツ点数を減らすことを実現しユーザーの負担を軽減いたしました。 「ライティング用品」は、純正ハロゲンバルブ交換用のLEDヘッド＆フォグバルブ「C5500シリーズ」を発売しました。ハロゲンバルブと同等サイズながら明るさUPと照射範囲の拡大を実現しました。 「スノーボード関連用品」は、主力ブランドの「FLUX」において、中核となる上位機種「XF」のモデルチェンジを行い、メインターゲットを中心に売上を伸ばしました。さらにラインナップ全体の統一感、ロゴやパッケージのデザイン変更を行い、ブランド認知度の強化を図りました。「FLUX」はスノーボードやブーツを含むスノーボード用品の総合ブランドとして、グローバルマーケットにおいて高い評価を得ています。 特許や実用新案の出願も積極的に進めており、当連結会計年度における出願件数は30件（国内23件、海外７件）、登録済み件数は138件（国内111件、海外27件）となっております。また、意匠並びに商標の登録件数は907件（国内608件、海外299件）となっております。当連結会計年度における研究開発費の実績は、車関連事業で1,743,114千円、アウトドア・レジャー・スポーツ関連事業で42,153千円、合計1,785,267千円であります。 
設備投資等の概要	１ 【設備投資等の概要】当社グループでは当連結会計年度において、主に車関連事業を中心に434,919千円の設備投資を行いました。セグメントごとの設備投資について示すと、次のとおりであります。車関連事業につきましては、主に新製品の生産・販売を目的とした金型等への設備投資を実施しております。設備投資額は313,141千円であります。アウトドア・レジャー・スポーツ関連事業につきましては、新製品の生産・販売を目的とした金型等への設備投資を実施しております。設備投資額は17,985千円であります。上記の２事業に加え本社において103,792千円の設備投資を行っております。(注)上記の設備投資金額には、無形固定資産への投資額を含めて記載しております。 
主要な設備の状況	２ 【主要な設備の状況】(1) 提出会社(2024年３月31日現在)事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置及び運搬具工具、器具及び備品土地(面積千㎡)無形固定資産合計結城工場(茨城県結城市)車関連アウトドア・レジャー・スポーツ関連製造設備46,77211,393135,924111,152(10)49,775355,01933(45)本社(東京都豊島区)車関連アウトドア・レジャー・スポーツ関連全社共通企画・開発設備その他設備20,79830,48033,023―[1]30,735115,038238(1)ケミカル研究所(茨城県結城市)車関連開発設備3,726―63022,000(2)―26,3577 (注) １　帳簿価額には、建設仮勘定の金額を含んでおりません。２　上記中［外書］は連結会社以外からの賃借設備であります。３　従業員数の欄の(外書)は臨時従業員数であります。４　現在休止中の重要な設備はありません。  (2) 国内子会社(2024年３月31日現在)会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置及び運搬具工具、器具及び備品土地(面積千㎡)無形固定資産合計カーメイト物流㈱物流　センター(茨城県　結城市)車関連アウトドア・レジャー・スポーツ関連物流設備64,70811,89510,439346,824(31)―433,86811(9) (注) １　帳簿価額には、建設仮勘定の金額を含んでおりません。２　建物及び構築物、土地は提出会社から賃借しているものであります。３　従業員数の欄の(外書)は臨時従業員数であります。４　現在休止中の重要な設備はありません。   (3) 在外子会社(2024年３月31日現在)会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置及び運搬具工具、器具及び備品土地(面積   千㎡)使用権資産無形固定資産合計快美特汽車精品(深セン)有限公司中国工場(広東省)車関連アウトドア・レジャー・スポーツ関連製造設備51,99427,97831,981―[29]―94,080206,034293 (注) １　帳簿価額には、建設仮勘定の金額を含んでおりません。２　上記中［外書］は連結会社以外からの賃借設備であります。３　現在休止中の重要な設備はありません。 
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式19,933,400計19,933,400  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月27日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式7,928,8857,928,885東京証券取引所スタンダード市場単元株式数は100株であります。計7,928,8857,928,885――  
