公表日時,時間,結果,予想,前回,
2023年11月22日 (10月),22:30, , ,0.4%,
2023年10月26日 (9月),21:30,0.5%,0.2%,0.5%,
2023年09月27日 (8月),21:30,0.4%,0.1%,0.1%,
2023年08月24日 (7月),21:30,0.5%,0.2%,0.2%,
2023年07月27日 (6月),21:30,0.6%,0.0%,0.6%,
2023年06月27日 (5月),21:30,0.6%,-0.1%,-0.6%,
2023年05月26日 (4月),21:30,-0.2%,0.0%,0.3%,
2023年04月26日 (3月),21:30,0.3%,-0.2%,-0.3%,
2023年03月24日 (2月),21:30,0.0%,0.2%,0.4%,
2023年02月27日 (1月),22:30,0.7%,0.1%,-0.4%,
2023年01月26日 (12月),22:30,-0.1%,-0.2%,0.1%,
2022年12月23日 (11月),22:30,0.2%,0.1%,0.1%,
2022年11月23日 (10月),22:30,0.5%,0.1%,-0.9%,
2022年10月27日 (9月),21:30,-0.5%,0.2%,0.3%,
2022年09月27日 (8月),21:30,0.2%,0.2%,0.2%,
2022年08月24日 (7月),21:30,0.3%,0.2%,0.3%,
2022年07月27日 (6月),21:30,0.3%,0.2%,0.5%,
2022年06月27日 (5月),21:30,0.7%,0.3%,0.2%,
2022年05月25日 (4月),21:30,0.3%,0.6%,1.1%,
2022年04月26日 (3月),21:30,1.1%,0.6%,-0.5%,
2022年03月24日 (2月),21:30,-0.6%,0.6%,0.8%,
2022年02月25日 (1月),22:30,0.7%,0.4%,0.9%,
2022年01月27日 (12月),22:30,0.4%,0.4%,1.1%,
2021年12月23日 (11月),22:30,0.8%,0.6%,0.3%,
2021年11月24日 (10月),22:30,0.5%,0.5%,0.7%,
2021年10月27日 (9月),21:30,0.4%,0.4%,0.3%,
2021年09月27日 (8月),21:30,0.2%,0.5%,0.8%,
2021年08月25日 (7月),21:30,0.7%,0.5%,0.6%,
2021年07月27日 (6月),21:30,0.3%,0.8%,0.5%,
2021年06月24日 (5月),21:30,0.3%,0.8%,1.7%,
2021年05月27日 (4月),21:30,1.0%,0.8%,3.2%,
2021年04月26日 (3月),21:30,1.6%,1.6%,-0.3%,
2021年03月24日 (2月),21:30,-0.9%,0.6%,1.6%,
2021年02月25日 (1月),22:30,1.4%,0.7%,1.7%,
2021年01月27日 (12月),22:30,0.7%,0.5%,0.8%,
2020年12月23日 (11月),22:30,0.4%,0.5%,1.9%,
2020年11月25日 (10月),22:30,1.3%,0.5%,1.5%,
2020年10月27日 (9月),21:30,0.8%,0.4%,1.0%,
2020年09月25日 (8月),21:30,0.4%,1.2%,3.2%,
2020年08月26日 (7月),21:30,2.4%,2.0%,4.0%,
2020年07月27日 (6月),21:30,3.3%,3.5%,3.6%,
2020年06月25日 (5月),21:30,4.0%,2.5%,-8.2%,
2020年05月28日 (4月),21:30,-7.4%,-14.0%,-1.7%,
2020年04月24日 (3月),21:30,-0.2%,-5.8%,-0.7%,
2020年03月25日 (2月),21:30,-0.6%,-0.4%,0.6%,
2020年02月27日 (1月),22:30,0.9%,0.2%,0.1%,
2020年01月28日 (12月),22:30,-0.1%,0.2%,-0.4%,
2019年12月23日 (11月),22:30,0.0%,0.1%,0.3%,
2019年11月27日 (10月),22:30,0.6%,0.2%,-0.4%,
2019年10月24日 (9月),21:30,-0.3%,-0.2%,0.3%,
2019年09月27日 (8月),21:30,0.5%,0.2%,-0.5%,
2019年08月26日 (7月),21:30,-0.4%,0.1%,0.8%,
2019年07月25日 (6月),21:30,1.2%,0.2%,0.5%,
2019年06月26日 (5月),21:30,0.3%,0.1%,-0.1%,
2019年05月24日 (4月),21:30,0.0%,0.2%,-0.5%,
2019年04月25日 (3月),21:30,0.4%,0.2%,-0.2%,
2019年04月02日 (2月),21:30,0.1%,0.3%,-0.1%,
2019年03月13日 (1月),21:30,-0.1%,0.1%,0.3%,
2019年02月21日 (12月),22:30,0.1%,0.2%,-0.2%,
2018年12月21日 (11月),22:30,-0.3%,0.3%,0.4%,
2018年11月21日 (10月),22:30,0.1%,0.4%,-0.6%,
2018年10月25日 (9月),21:30,0.1%,0.5%,0.3%,
2018年09月27日 (8月),21:30,0.1%,0.4%,0.2%,
2018年08月24日 (7月),21:30,0.2%,0.5%,0.1%,
2018年07月26日 (6月),21:30,0.4%,0.5%,0.3%,
2018年06月27日 (5月),21:30,-0.3%,0.5%,1.9%,
2018年05月25日 (4月),21:30,0.9%,0.5%,0.4%,
2018年04月26日 (3月),21:30,0.0%,0.5%,0.9%,
2018年03月23日 (2月),21:30,1.2%,0.5%,-0.2%,
2018年02月27日 (1月),22:30,-0.3%,0.4%,0.7%,
2018年01月26日 (12月),22:30,0.6%,0.5%,0.3%,
2017年12月22日 (11月),22:30,-0.1%,0.5%,1.3%,
2017年11月22日 (10月),22:30,0.4%,0.5%,1.1%,
2017年10月25日 (9月),21:30,0.7%,0.5%,0.7%,
2017年09月27日 (8月),21:30,0.2%,0.2%,0.8%,
2017年08月25日 (7月),21:30,0.5%,0.4%,0.1%,
2017年07月27日 (6月),21:30,0.2%,0.4%,0.6%,
2017年06月26日 (5月),21:30,0.1%,0.5%,-0.5%,
2017年05月26日 (4月),21:30,-0.4%,0.5%,-0.2%,
2017年04月27日 (3月),21:30,-0.2%,0.4%,0.7%,
2017年03月24日 (2月),21:30,0.4%,0.5%,0.2%,
2017年02月27日 (1月),22:30,-0.2%,0.5%,0.9%,
2017年01月27日 (12月),22:30,0.5%,0.5%,1.0%,
2016年12月22日 (11月),22:30,0.5%,0.2%,0.9%,
2016年11月23日 (10月),22:30,1.0%,0.2%,0.2%,
2016年10月27日 (9月),21:30,0.2%,0.2%,0.1%,
2016年09月28日 (8月),21:30,-0.4%,-0.4%,1.1%,
2016年08月25日 (7月),21:30,1.5%,0.5%,-0.3%,
2016年07月27日 (6月),21:30,-0.5%,0.3%,-0.4%,
2016年06月24日 (5月),21:30,-0.3%,0.2%,0.5%,
2016年05月26日 (4月),21:30,0.4%,0.3%,0.1%,
2016年04月26日 (3月),21:30,-0.2%,0.5%,-1.3%,
2016年03月24日 (2月),21:30,-1.0%,-0.2%,1.2%,
2016年02月25日 (1月),22:30,1.8%,0.2%,-0.7%,
2016年01月28日 (12月),22:30,-1.2%,-0.1%,-0.5%,
2015年12月23日 (11月),22:30,-0.1%,0.1%,0.5%,
2015年11月25日 (10月),22:30,0.5%,0.3%,-0.1%,
