企業名	コード	URL
オンデック	7360	/company/2020/ondeck.html
クリングルファーマ	4884	/company/2020/kringle-pharma.html
ファンペップ	4881	/company/2020/funpep.html
SANEI	6230	/company/2020/sanei.html
東和ハイシステム	4172	/company/2020/towa-hi-sys.html
東京通信	7359	/company/2020/tokyo-tsushin.html
グローバルインフォメーション	4171	/company/2020/gii.html
交換できるくん	7695	/company/2020/dekirukun.html
ENECHANGE	4169	/company/2020/enechange.html
Kaizen Platform	4170	/company/2020/kaizenplatform.html
ウェルスナビ	7342	/company/2020/wealthnavi.html
ヤプリ	4168	/company/2020/yappli.html
ポピンズホールディングス	7358	/company/2020/poppins.html
いつも	7694	/company/2020/itsumo365.html
インバウンドテック	7031	/company/2020/inboundtech.html
ココペリ	4167	/company/2020/kokopelli.html
かっこ	4166	/company/2020/cacco.html
オーケーエム	6229	/company/2020/okm.html
リベルタ	4935	/company/2020/liberta.html
ビートレンド	4020	/company/2020/betrend.html
プレイド	4165	/company/2020/plaid.html
ローランド	7944	/company/2020/roland.html
バルミューダ	6612	/company/2020/balmuda.html
Fast FitnessJapan	7092	/company/2020/fastfitnessjapan.html
スタメン	4019	/company/2020/stmn.html
ビーイングホールディングス	9145	/company/2020/being-group.html
バリオセキュア	4494	/company/2020/variosecure.html
クリーマ	4017	/company/2020/creema.html
ジオコード	7357	/company/2020/geo-code.html
MITホールディングス	4016	/company/2020/mit-hd.html
アララ	4015	/company/2020/arara.html
Retty	7356	/company/2020/retty.html
さくらさくプラス	7097	/company/2020/sakurasakuplus.html
プレミアアンチエイジング	4934	/company/2020/p-antiaging.html
カラダノート	4014	/company/2020/karadanote.html
アースインフィニティ	7692	/company/2020/earth-infinity.html
日通システム	4013	/company/2020/nittsusystem.html
キオクシアホールディングス	6600	/company/2020/kioxia.html
ダイレクトマーケティングミックス	7354	/company/2020/dmix.html
タスキ	2987	/company/2020/tasukicorp.html
アクシス	4012	/company/2020/axis-net.html
ヘッドウォータース	4011	/company/2020/headwaters.html
rakumo	4060	/company/2020/rakumo.html
I-ne	4933	/company/2020/i-ne.html
STIフードホールディングス	2932	/company/2020/shintokyo.html
まぐまぐ	4059	/company/2020/mag2.html
グラフィコ	4930	/company/2020/graphico.html
トヨクモ	4058	/company/2020/toyokumo.html
雪国まいたけ	1375	/company/2020/maitake.html
インターファクトリー	4057	/company/2020/interfactory.html
ニューラルポケット	4056	/company/2020/neuralpocket.html
ティアンドエス	4055	/company/2020/tecsvc.html
モダリス	4883	/company/2020/modalistx.html
Sun Asterisk	4053	/company/2020/sun-asterisk.html
日本情報クリエイト	4054	/company/2020/n-create.html
KIYOラーニング	7353	/company/2020/kiyo-learning.html
GMOフィナンシャルゲート	4051	/company/2020/gmo-fg.html
アイキューブドシステムズ	4495	/company/2020/i3-systems.html
Speee	4499	/company/2020/speee.html
BrandingEngineer	7352	/company/2020/b-engineer.html
グッドパッチ	7351	/company/2020/goodpatch.html
エブレン	6599	/company/2020/ebrain.html
コマースOneホールディングス	4496	/company/2020/cm-one.html
フィーチャ	4052	/company/2020/ficha.html
ロコガイド	4497	/company/2020/locoguide.html
コパ・コーポレーション	7689	/company/2020/copa.html
ヤマイチエステート	2984	/company/2020/yg801.html
スマート・ソリューション・テクノロジー	6598	/company/2020/sstinc.html
アールプランナー	2983	/company/2020/arrplanner.html
サイバートラスト	4498	/company/2020/cybertrust.html
ステムセル研究所	7096	/company/2020/stemcell.html
アルマード	4932	/company/2020/almado.html
松屋アールアンドディ	7317	/company/2020/matsuyard.html
Macbee Planet	7095	/company/2020/macbee-planet.html
NexTone	7094	/company/2020/nex-tone.html
ニッソウ	1444	/company/2020/nisso.html
サイバーセキュリティクラウド	4493	/company/2020/cscloud.html
ウイングアーク1st	4432	/company/2020/wingarc.html
アディッシュ	7093	/company/2020/adish.html
ヴィス	5071	/company/2020/vis.html
ペルセウスプロテオミクス	4882	/company/2020/ppmx.html
リバーホールディングス	5690	/company/2020/re-ver.html
日本インシュレーション	5368	/company/2020/jic-bestork.html
関通	9326	/company/2020/kantsu.html
ゼネテック	4492	/company/2020/genetec.html
ドラフト	5070	/company/2020/draft.html
リビングプラットフォーム	7091	/company/2020/living-platform.html
ミアヘルサ	7688	/company/2020/merhalsa.html
ミクリード	7687	/company/2020/micreed.html
リグア	7090	/company/2020/ligua.html
木村工機	6231	/company/2020/kimukoh.html
フォースタートアップス	7089	/company/2020/forstartups.html
コンピューターマネージメント	4491	/company/2020/cmknet.html
ビザスク	4490	/company/2020/visasq.html
フォーラムエンジニアリング	7088	/company/2020/forumeng.html
ウイルテック	7087	/company/2020/willtec.html
きずなホールディングス	7086	/company/2020/kizuna.html
Kids SmileHoldings	7084	/company/2020/kidssmile.html
カーブスホールディングス	7085	/company/2020/curvesholdings.html
AHCグループ	7083	/company/2020/ahc.html
ジャパン・インフラファンド投資法人	9287	/company/2020/japan_infra.html
ジモティー	7082	/company/2020/jmty.html
コーユーレンティア	7081	/company/2020/koyou.html
