買	企業名	最大何倍株	現在何倍株	コード	ビジネスモデル	参入障壁あるか	参入障壁の詳細	社長株%	想定時価総額（億円）	時価総額_上場1年以内（億円）	ノーバガー指標	5,7,10,N倍まで何年	Sector	Industry	上場廃止	PER	IPO情報URL	IR	有価証券報告書	会社URL	事業内容	備考	テンバガー指標	決算	決算伸び率%	会社設立	管理人からのコメント	上場日	市場	株主名と比率	企業業績のデータ（5年分）														
	yutori	4.1	3	5892				31.82	39.3	35.6		"None
None
None
0.19"	5892.Tのセクター情報が見つかりませんでした	5892.Tの業界情報が見つかりませんでした			https://www.ipokiso.com/company/2023/yutori.html	https://irbank.net/5892/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SCQG.pdf	https://yutori.tokyo	衣料品および雑貨などの企画ならびにそれらの小売・卸売事業					2018年4月（6年目）	yutori[ユトリ]（5892）、衣料品および雑貨などの企画ならびにそれらの小売り・卸売り事業をおこなっています。取り扱いブランドは「9090」、「centimeter」、「nemne」、「PAMM」、「F-LAGSTU-F」、「Younger Song」、「HTH」などです。直近の業績推移を見ると、急激な右肩上がりで事業を拡大させていますが、これはM&Aによるものであり、今後も継続的にこのような事業拡大が実現できるかどうかは分かりません。	12月27日(水)	東証グロース	[{"株主名": "（株）ZOZO", "比率": 46.63, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "片石 貴展（社長）", "比率": 31.82, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "（株）pool", "比率": 9.15, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "瀬之口 和磨", "比率": 7.2, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "佐藤 祐介", "比率": 0.7, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "濱田 栞", "比率": 0.65, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "舩橋 誠", "比率": 0.6, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "土田 天晴", "比率": 0.55, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "穀本 周", "比率": 0.54, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "青嶋 剣士郎", "比率": 0.35, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2020年3月": 141.0, "2021年3月": 568.0, "2022年3月": 1632.0, "2023年3月": 2470.0}}, {"経常利益（百万円）": {"2020年3月": -58.0, "2021年3月": 2.0, "2022年3月": 225.0, "2023年3月": -54.0}}, {"当期純利益（百万円）": {"2020年3月": -59.0, "2021年3月": 32.0, "2022年3月": 150.0, "2023年3月": -68.0}}, {"純資産額（百万円）": {"2020年3月": 13.0, "2021年3月": 145.0, "2022年3月": 299.0, "2023年3月": 231.0}}, {"1株あたりの純資産額（円）": {"2020年3月": -5103.0, "2021年3月": 4542.0, "2022年3月": 149.0, "2023年3月": 103.0}}, {"1株あたりの純利益（円）": {"2020年3月": -4625.0, "2021年3月": 2289.0, "2022年3月": 101.0, "2023年3月": -46.0}}, {"自己資本比率（％）": {"2020年3月": 15.9, "2021年3月": 59.2, "2022年3月": 35.4, "2023年3月": 17.2}}, {"自己資本利益率（％）": {"2020年3月": null, "2021年3月": 40.4, "2022年3月": 67.4, "2023年3月": null}}]														
	ナルネットコミュニケーションズ	1.8	1	5870					62.9	34.9		"None
None
None
0.27"	5870.Tのセクター情報が見つかりませんでした	5870.Tの業界情報が見つかりませんでした			https://www.ipokiso.com/company/2023/nal-mt.html	https://irbank.net/5870/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SC16.pdf	https://www.nal-mt.co.jp/	オートリース企業をはじめとする法人（自動車関連企業）・個人ユーザーに対する車両管理やメンテナンス管理事業					2019年7月（5年目）	ナルネットコミュニケーションズ（5870）、オートリース企業をはじめとする自動車関連企業に対して、車両管理およびメンテナンス管理などの業務を代わりに引き受けるサービスを提供しています。2022年3月期に連結化した会社の業績推移を見る限り、業績は上昇傾向にありますが、今後の成長性はそこまで感じられません。	12月25日(月)	東証グロース	[{"株主名": "ジャフコSV6投資事業有限責任組合無限責任組合員 ジャフコ グループ（株）", "比率": 47.35, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "Mobility & Maintenance Japan （株）代表取締役 合六 渉", "比率": 34.56, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "ジャフコSV6-S投資事業有限責任組合無限責任組合員 ジャフコ グループ（株）", "比率": 11.83, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "JIA1号投資事業有限責任組合無限責任組合員 JPE第2号（株）", "比率": 1.13, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "あいぎんベンチャーファンド2号投資事業有限責任組合無限責任組合員 愛知キャピタル（株）", "比率": 1.12, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "鈴木 隆志（社長）", "比率": 0.72, "ロックアップ": "継続保有", "isCEO": true}, {"株主名": "東村 大介", "比率": 0.72, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "服部 正次", "比率": 0.72, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "永冶 健", "比率": 0.72, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "大賀 正寛", "比率": 0.27, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2020年3月": null, "2021年3月": null, "2022年3月": 6418.0, "2023年3月": 7028.0}}, {"経常利益（百万円）": {"2020年3月": -171.0, "2021年3月": -69.0, "2022年3月": 390.0, "2023年3月": 492.0}}, {"当期純利益（百万円）": {"2020年3月": -172.0, "2021年3月": -71.0, "2022年3月": 199.0, "2023年3月": 622.0}}, {"純資産額（百万円）": {"2020年3月": 2466.0, "2021年3月": 2395.0, "2022年3月": 2480.0, "2023年3月": 2911.0}}, {"1株あたりの純資産額（円）": {"2020年3月": 46735.0, "2021年3月": 45391.0, "2022年3月": 470.0, "2023年3月": 552.0}}, {"1株あたりの純利益（円）": {"2020年3月": -3264.0, "2021年3月": -1344.0, "2022年3月": 38.0, "2023年3月": 118.0}}, {"自己資本比率（％）": {"2020年3月": 38.4, "2021年3月": 37.6, "2022年3月": 26.3, "2023年3月": 30.3}}, {"自己資本利益率（％）": {"2020年3月": null, "2021年3月": null, "2022年3月": 8.4, "2023年3月": 23.9}}]														
	早稲田学習研究会	1.1	1	5869					92.9	107.7		"None
None
None
0.37"	5869.Tのセクター情報が見つかりませんでした	5869.Tの業界情報が見つかりませんでした			https://www.ipokiso.com/company/2023/wasedazemi.html	https://irbank.net/5869/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SBTP.pdf	https://www.wasedazemi.com/	小学生・中学生・高校生を対象とする学習塾事業の経営					1993年1月（31年目）	早稲田学習研究会（5869）、小中学生を対象に学力向上指導、中学生を対象に高校受験対策をおこなっている「W早稲田ゼミ」の運営、高校生を対象に大学受験対策をおこなっている「W早稲田ゼミハイスクール」の運営、小中高生を対象に個別指導をおこなっている「ファースト個別」の運営をおこなっています。直近の業績推移を見ると、売上の拡大ペースが緩やかになっており、今後の成長性を感じにくくなっています。	12月22日(金)	東証スタンダード	[{"株主名": "吉原 俊夫", "比率": 54.93, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "（株）YMM", "比率": 45.07, "ロックアップ": "90日間", "isCEO": false}]	[{"売上高（百万円）": {"2020年3月": 3376.0, "2021年3月": 5468.0, "2022年3月": 5889.0, "2023年3月": 6110.0}}, {"経常利益（百万円）": {"2020年3月": 625.0, "2021年3月": 1232.0, "2022年3月": 1214.0, "2023年3月": 1247.0}}, {"当期純利益（百万円）": {"2020年3月": 1745.0, "2021年3月": 943.0, "2022年3月": 831.0, "2023年3月": 838.0}}, {"純資産額（百万円）": {"2020年3月": 4023.0, "2021年3月": 4712.0, "2022年3月": 5268.0, "2023年3月": 5857.0}}, {"1株あたりの純資産額（円）": {"2020年3月": 19995.0, "2021年3月": 23419.0, "2022年3月": 524.0, "2023年3月": 582.0}}, {"1株あたりの純利益（円）": {"2020年3月": 8670.0, "2021年3月": 4686.0, "2022年3月": 83.0, "2023年3月": 83.0}}, {"自己資本比率（％）": {"2020年3月": 67.7, "2021年3月": 65.0, "2022年3月": 70.3, "2023年3月": 71.0}}, {"自己資本利益率（％）": {"2020年3月": 53.8, "2021年3月": 21.6, "2022年3月": 16.7, "2023年3月": 15.1}}]														
	ヒューマンテクノロジーズ	1.7	1.2	5621					85.5	99		"None
None
None
0.16"	技術	ソフトウェア - インフラストラクチャ			https://www.ipokiso.com/company/2023/h-t.html	https://irbank.net/5621/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SBM5.pdf	https://www.h-t.co.jp/	勤怠管理を中心としたクラウドサービスの開発および提供					2011年12月（12年目）	ヒューマンテクノロジーズ（5621）は、クラウド勤怠管理システム「KING OF TIME」を運営しています。勤怠管理のほか、人事管理、給与計算、データ分析なども実装されており、充実した機能が売りです。直近の業績推移を見ると、右肩上がりで業績を拡大させており、今後の成長性も感じられます。	12月22日(金)	東証グロース	[{"株主名": "ニューホライズン（株）", "比率": 44.44, "ロックアップ": "360日間", "isCEO": false}, {"株主名": "恵志 章夫", "比率": 22.22, "ロックアップ": "360日間", "isCEO": false}, {"株主名": "奥畑 和行", "比率": 11.11, "ロックアップ": "360日間", "isCEO": false}, {"株主名": "飯泉 満", "比率": 11.11, "ロックアップ": "360日間", "isCEO": false}, {"株主名": "渡邉 脩次", "比率": 9.11, "ロックアップ": "", "isCEO": false}, {"株主名": "家﨑 晃一（社長）", "比率": 1.0, "ロックアップ": "360日間", "isCEO": true}, {"株主名": "伊藤忠商事（株）", "比率": 1.0, "ロックアップ": "360日間", "isCEO": false}]	[{"売上高（百万円）": {"2020年3月": 2474.0, "2021年3月": 2914.0, "2022年3月": 3585.0, "2023年3月": 4223.0}}, {"経常利益（百万円）": {"2020年3月": 570.0, "2021年3月": 766.0, "2022年3月": 584.0, "2023年3月": 326.0}}, {"当期純利益（百万円）": {"2020年3月": 395.0, "2021年3月": 549.0, "2022年3月": 439.0, "2023年3月": 238.0}}, {"純資産額 （百万円）": {"2020年3月": 777.0, "2021年3月": 1326.0, "2022年3月": 1815.0, "2023年3月": 1935.0}}, {"1株あたりの純資産額（円）": {"2020年3月": 1726619.0, "2021年3月": 2945998.0, "2022年3月": 224.0, "2023年3月": 239.0}}, {"1株あたりの純利益（円）": {"2020年3月": 877916.0, "2021年3月": 1219380.0, "2022年3月": 54.0, "2023年3月": 29.0}}, {"自己資本比率（％）": {"2020年3月": 46.2, "2021年3月": 60.8, "2022年3月": 70.0, "2023年3月": 64.9}}, {"自己資本利益率（％）": {"2020年3月": 68.2, "2021年3月": 52.2, "2022年3月": 27.5, "2023年3月": 12.7}}]														
	マーソ	1.6	1	5619				40.13	74.5	49.7		"None
None
None
0.39"	5619.Tのセクター情報が見つかりませんでした	5619.Tの業界情報が見つかりませんでした			https://www.ipokiso.com/company/2023/mrso.html	https://irbank.net/5619/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SBM6.pdf	https://www.mrso.co.jp/	人間ドック・健診の予約プラットフォーム『MRSO.jp』および各種DX支援サービスの開発・運営など					2015年2月（9年目）	マーソ（5619）、人間ドック、健診予約システムなどの提供を通じて、顧客のマーケティング活動とDXサービスを提供しています。直近の業績推移を見ると、2021年12月から大きく売り上げを伸ばしています。これは2021年に新型コロナウイルスなどのワクチン接種に関するWEB予約サービスの提供を開始した影響が大きいと思います。	12月21日(木)	東証グロース	[{"株主名": "西野 恒五郎（社長）", "比率": 40.13, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "三和システム（株）", "比率": 20.88, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "ジャフコSV4共有投資事業有限責任組合", "比率": 10.1, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "神田 有宏", "比率": 9.08, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "Aflac Ventures LLC", "比率": 6.28, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "阿部 順一", "比率": 4.16, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "菅生 淳一", "比率": 2.44, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "森トラスト（株）", "比率": 2.02, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）ウエスト・プラニング", "比率": 1.01, "ロックアップ": "", "isCEO": false}, {"株主名": "吉田 弘", "比率": 0.58, "ロックアップ": "", "isCEO": false}]	[{"売上高（百万円）": {"2019年12月": 636.0, "2020年12月": 509.0, "2021年12月": 1739.0, "2022年12月": 2251.0}}, {"経常利益（百万円）": {"2019年12月": 81.0, "2020年12月": -48.0, "2021年12月": 882.0, "2022年12月": 997.0}}, {"当期純利益（百万円）": {"2019年12月": 80.0, "2020年12月": -49.0, "2021年12月": 651.0, "2022年12月": 654.0}}, {"純資産額（百万円）": {"2019年12月": 441.0, "2020年12月": 392.0, "2021年12月": 1043.0, "2022年12月": 1337.0}}, {"1株あたりの純資産額（円）": {"2019年12月": 36.0, "2020年12月": 24.0, "2021年12月": 190.0, "2022年12月": 343.0}}, {"1株あたりの純利益（円）": {"2019年12月": 20.0, "2020年12月": -13.0, "2021年12月": 167.0, "2022年12月": 168.0}}, {"自己資本比率（％）": {"2019年12月": 57.9, "2020年12月": 79.1, "2021年12月": 61.4, "2022年12月": 64.2}}, {"自己資本利益率（％）": {"2019年12月": 20.0, "2020年12月": null, "2021年12月": 90.7, "2022年12月": 55.0}}]														
	ナイル	1.7	1	5618				43.13	137.8	62.4		"None
None
None
0.46"	5618.Tのセクター情報が見つかりませんでした	5618.Tの業界情報が見つかりませんでした			https://www.ipokiso.com/company/2023/nyle.html	https://irbank.net/5618/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SBC4.pdf	https://nyle.co.jp/	自動車産業DX事業（オンライン主体のマイカーサブスク関連サービスを提供）、ホリゾンタルDX事業（DX・マーケティングに関するコンサルティングなどを提供）					2007年1月（17年目）	ナイル（5618）、DXやマーケティングの技術、ノウハウを活かしたコンサルティングサービスの提供、複数のメディアの開発、運営およびデジタル広告に関する解決策の提供、マイカーのサブスクリプションに関する車探しから料金シミュレーション、申し込み手続きのオンライン対応サービスを提供しています。直近の業績推移を見ると、急激な右肩上がりで事業規模を拡大させており、今後の成長性にも期待が持てます。ただ、売上に対する赤字額が大きいので黒字化までの不透明感はあります。	12月20日(水)	東証グロース	[{"株主名": "高橋 飛翔（社長）", "比率": 43.13, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "JICベンチャー・グロース・ファンド1号投資事業有限責任組合", "比率": 13.83, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "（株）SMBC信託銀行", "比率": 6.75, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "（株）セプテーニ・ホールディングス", "比率": 4.57, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "SBI AI&Blockchain投資事業有限責任組合", "比率": 4.49, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "榎並 慶浩(受託者)", "比率": 3.06, "ロックアップ": "", "isCEO": false}, {"株主名": "EEI4号イノベーション&インパクト投資事業有限責任組合", "比率": 2.74, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "DIMENSION投資事業有限責任組合", "比率": 1.92, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "（株）博報堂DYメディアパートナーズ", "比率": 1.92, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）アニヴェルセルHOLDINGS", "比率": 1.79, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年12月": 1484.0, "2020年12月": 2126.0, "2021年12月": 2629.0, "2022年12月": 4139.0}}, {"経常利益（百万円）": {"2019年12月": -438.0, "2020年12月": -1128.0, "2021年12月": -1891.0, "2022年12月": -1354.0}}, {"当期純利益（百万円）": {"2019年12月": -441.0, "2020年12月": -1186.0, "2021年12月": -1895.0, "2022年12月": -1355.0}}, {"純資産額（百万円）": {"2019年12月": 1153.0, "2020年12月": 3687.0, "2021年12月": 1802.0, "2022年12月": 1046.0}}, {"1株あたりの純資産額（円）": {"2019年12月": -24506.0, "2020年12月": -80486.0, "2021年12月": -447.0, "2022年12月": -601.0}}, {"1株あたりの純利益（円）": {"2019年12月": -32083.0, "2020年12月": -79769.0, "2021年12月": -247.0, "2022年12月": -176.0}}, {"自己資本比率（％）": {"2019年12月": 50.7, "2020年12月": 66.1, "2021年12月": 57.1, "2022年12月": 38.3}}, {"自己資本利益率（％）": {"2019年12月": null, "2020年12月": null, "2021年12月": null, "2022年12月": null}}]														
	ロココ	1.5	1	5868				22.72	24.9	33.9		"None
None
None
0.24"	技術	情報技術サービス			https://www.ipokiso.com/company/2023/rococo.html	https://irbank.net/5868/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SB5T.pdf	https://www.rococo.co.jp	ITアウトソーシング・BPOサービスおよびシステム開発・保守・導入支援など					1994年6月（30年目）	ロココ（5868）、IT人材の常駐によるアウトソーシングサービス、コールセンター・BPOサービス、ライブチケットの配席管理サービスを提供しています。直近の業績推移を見ると、業績は右肩上がりで成長しており、今後の成長性も感じられます。	12月20日(水)	東証スタンダード	[{"株主名": "（株）イッシン", "比率": 46.16, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "長谷川 一彦（社長）", "比率": 22.72, "ロックアップ": "90日間", "isCEO": true}, {"株主名": "長谷川 裕美", "比率": 3.55, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "吉原 美智代", "比率": 3.49, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "加藤 芳男", "比率": 1.78, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "西本 憲二", "比率": 1.51, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "河村 博文", "比率": 1.36, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "長谷川 昭次", "比率": 1.07, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "ロココ社員持株会", "比率": 0.92, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "長谷川 正人", "比率": 0.71, "ロックアップ": "90日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年12月": 5704.0, "2020年12月": 5688.0, "2021年12月": 6305.0, "2022年12月": 6929.0}}, {"経常利益（百万円）": {"2019年12月": 223.0, "2020年12月": 158.0, "2021年12月": 408.0, "2022年12月": 699.0}}, {"当期純利益（百万円）": {"2019年12月": 3.0, "2020年12月": 42.0, "2021年12月": 323.0, "2022年12月": 453.0}}, {"純資産額（百万円）": {"2019年12月": 221.0, "2020年12月": 271.0, "2021年12月": 611.0, "2022年12月": 1074.0}}, {"1株あたりの純資産額（円）": {"2019年12月": 1702.0, "2020年12月": 2082.0, "2021年12月": 235.0, "2022年12月": 413.0}}, {"1株あたりの純利益（円）": {"2019年12月": 23.0, "2020年12月": 325.0, "2021年12月": 124.0, "2022年12月": 174.0}}, {"自己資本比率（％）": {"2019年12月": 7.7, "2020年12月": 8.6, "2021年12月": 20.1, "2022年12月": 32.9}}, {"自己資本利益率（％）": {"2019年12月": 1.4, "2020年12月": 17.2, "2021年12月": 72.6, "2022年12月": 53.8}}]														
	エスネットワークス	2.2	1	5867					21.3	32.9		"None
None
None
0.40"	産業	コンサルティングサービス			https://www.ipokiso.com/company/2023/esnet.html	https://irbank.net/5867/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100SB5X.pdf	https://esnet.co.jp/	財務・会計分野を中心とした実務実行支援型コンサルティングサービスの提供					1999年10月（25年目）	エスネットワークス（5867）、経営支援コンサル、再生支援コンサル、海外進出支援コンサルを提供するコンサルティング事業、成長可能性のある企業に対して投資をおこなうとともに、経営人材の派遣や経営支援をおこなうことで対象企業の企業価値向上をねらう投資事業を展開しています。直近の業績推移を見る限り、売り上げが横ばいに推移しており、今後の成長性はあまり感じられません。	12月19日(火)	東証グロース	[{"株主名": "（株）58", "比率": 31.43, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）須原屋", "比率": 15.45, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "佐藤 英志", "比率": 6.73, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "須原 伸太郎", "比率": 5.53, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "エスネットワークスグループ社員持株会", "比率": 5.03, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "セキュア・ベース（株）", "比率": 4.9, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "宮部 賢一", "比率": 4.72, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "高畠 義紀（社長）", "比率": 3.59, "ロックアップ": "継続保有", "isCEO": true}, {"株主名": "パーソルキャリア（株）", "比率": 2.99, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "宇野 康秀", "比率": 2.39, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年12月": 2536.0, "2020年12月": 1902.0, "2021年12月": 2334.0, "2022年12月": 2650.0}}, {"経常利益（百万円）": {"2019年12月": 367.0, "2020年12月": -134.0, "2021年12月": 164.0, "2022年12月": 235.0}}, {"当期純利益（百万円）": {"2019年12月": 170.0, "2020年12月": -50.0, "2021年12月": 123.0, "2022年12月": 143.0}}, {"純資産額（百万円）": {"2019年12月": 1144.0, "2020年12月": 947.0, "2021年12月": 1192.0, "2022年12月": 1259.0}}, {"1株あたりの純資産額（円）": {"2019年12月": 409.0, "2020年12月": 341.0, "2021年12月": 401.0, "2022年12月": 411.0}}, {"1株あたりの純利益（円）": {"2019年12月": 60.0, "2020年12月": -18.0, "2021年12月": 44.0, "2022年12月": 49.0}}, {"自己資本比率（％）": {"2019年12月": 57.9, "2020年12月": 44.2, "2021年12月": 48.3, "2022年12月": 50.9}}, {"自己資本利益率（％）": {"2019年12月": 13.0, "2020年12月": null, "2021年12月": 10.8, "2022年12月": 12.1}}]														
	雨風太陽			5616				13.18	19.8	18.6			5616.Tのセクター情報が見つかりませんでした	5616.Tの業界情報が見つかりませんでした			https://www.ipokiso.com/company/2023/ame-kaze-taiyo.html	https://irbank.net/5616/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100S9MV.pdf	https://ame-kaze-taiyo.jp/	CtoCプラットフォーム『ポケットマルシェ』運営、生産者の販路拡大などを目的とした自治体向け支援サービス、生産者のもとで学ぶ地方留学プログラムの提供など					2015年2月（9年目）	雨風太陽[あめかぜたいよう]（5616）、生産者から一次産品（加工されていない産出品）を直接購入できるプラットフォーム「ポケットマルシェ」の運営などをおこなっています。収益モデルは商品代金に応じた手数料収入となっています。直近の業績推移を見ると、右肩上がりで事業規模を拡大させていますが、売り上げに対する赤字額が大きく、先行きに不透明感があります。	12月18日(月)	東証グロース	[{"株主名": "PNB-INSPiRE Ethical Fund 1 投資事業有限責任組合", "比率": 14.87, "ロックアップ": "90日間\r\n1.5倍", "isCEO": false}, {"株主名": "髙橋 博之（社長）", "比率": 13.18, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "小橋工業（株）", "比率": 11.47, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）丸井グループ", "比率": 7.83, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "大塚 泰造", "比率": 7.71, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "アグリビジネス投資育成（株）(農林中央金庫信託口)", "比率": 3.63, "ロックアップ": "90日間\r\n1.5倍", "isCEO": false}, {"株主名": "本間 勇輝", "比率": 3.53, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）メルカリ", "比率": 3.52, "ロックアップ": "", "isCEO": false}, {"株主名": "（株）ユーグレナ", "比率": 3.52, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "永田 暁彦", "比率": 2.57, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2019年12月": 28.0, "2020年12月": 279.0, "2021年12月": 445.0, "2022年12月": 636.0}}, {"経常利益（百万円）": {"2019年12月": -136.0, "2020年12月": -434.0, "2021年12月": -565.0, "2022年12月": -321.0}}, {"当期純利益（百万円）": {"2019年12月": -137.0, "2020年12月": -458.0, "2021年12月": -568.0, "2022年12月": -322.0}}, {"純資産額（百万円）": {"2019年12月": 195.0, "2020年12月": 727.0, "2021年12月": 164.0, "2022年12月": 133.0}}, {"1株あたりの純資産額（円）": {"2019年12月": 49997.0, "2020年12月": 117301.0, "2021年12月": 104.0, "2022年12月": 79.0}}, {"1株あたりの純利益（円）": {"2019年12月": -36511.0, "2020年12月": -95141.0, "2021年12月": -363.0, "2022年12月": -205.0}}, {"自己資本比率（％）": {"2019年12月": 71.9, "2020年12月": 65.7, "2021年12月": 26.9, "2022年12月": 19.3}}, {"自己資本利益率（％）": {"2019年12月": null, "2020年12月": null, "2021年12月": null, "2022年12月": null}}]														
	魁力屋			5891				28.21	70.8	92.2			5891.Tのセクター情報が見つかりませんでした	5891.Tの業界情報が見つかりませんでした			https://www.ipokiso.com/company/2023/kairikiya.html	https://irbank.net/5891/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100S88A.pdf	https://www.kairikiya.co.jp/	ラーメンチェーン展開などの飲食事業					2003年2月（21年目）	魁力屋[カイリキヤ]（5891）、「京都背脂醤油ラーメン」を主力商品とする「京都北白川ラーメン魁力屋」を運営しています。直近の業績推移を見ると、売り上げは横ばい気味で推移していますが、2022年12月期から2023年第3四半期にかけては上昇しています。	12月15日(金)	東証スタンダード	[{"株主名": "(株)マルフジコーポレーション", "比率": 64.46, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "藤田 宗（社長）", "比率": 28.21, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "丸本 純平", "比率": 1.05, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "田口 剛", "比率": 0.77, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "河原 智彦", "比率": 0.56, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "赤松 繁男", "比率": 0.49, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "(株)大垣書店", "比率": 0.46, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "大和商工(株)", "比率": 0.46, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "松浦 基之", "比率": 0.46, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "濱口 孝之", "比率": 0.42, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2019年12月": 7118.0, "2020年12月": 6942.0, "2021年12月": 7086.0, "2022年12月": 8816.0}}, {"経常利益（百万円）": {"2019年12月": 318.0, "2020年12月": 186.0, "2021年12月": 490.0, "2022年12月": 642.0}}, {"当期純利益（百万円）": {"2019年12月": 28.0, "2020年12月": 133.0, "2021年12月": 234.0, "2022年12月": 314.0}}, {"純資産額（百万円）": {"2019年12月": 1783.0, "2020年12月": 1916.0, "2021年12月": 2150.0, "2022年12月": 2464.0}}, {"1株あたりの純資産額（円）": {"2019年12月": 416.0, "2020年12月": 447.0, "2021年12月": 501.0, "2022年12月": 574.0}}, {"1株あたりの純利益（円）": {"2019年12月": 7.0, "2020年12月": 31.0, "2021年12月": 55.0, "2022年12月": 73.0}}, {"自己資本比率（％）": {"2019年12月": 43.0, "2020年12月": 43.6, "2021年12月": 44.6, "2022年12月": 44.4}}, {"自己資本利益率（％）": {"2019年12月": 1.6, "2020年12月": 7.2, "2021年12月": 11.5, "2022年12月": 13.6}}]														
