買	企業名	最大何倍株	現在何倍株	コード	ビジネスモデル	参入障壁あるか	参入障壁の詳細	社長株%	想定時価総額（億円）	時価総額_上場1年以内（億円）	ノーバガー指標	5,7,10,N倍まで何年	Sector	Industry	上場廃止	PER	IPO情報URL	IR	有価証券報告書	会社URL	事業内容	備考	テンバガー指標	決算	決算伸び率%	会社設立	管理人からのコメント	上場日	市場	株主名と比率	企業業績のデータ（5年分）														
	PRISM BioLab			206A					153.8						廃止		https://www.ipokiso.com/company/2024/prismbiolab.html	https://irbank.net/206A/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100TI1E.pdf	https://prismbiolab.com/	独自の創薬基盤（PepMetics技術）を用いた新規医薬品の研究・開発					2012年4月（13年目）	PRISM BioLab[プリズムバイオラボ]（206A）、細胞内や細胞外のタンパク質同士の相互作用を制御する独自の創薬基盤技術（PepMetics）を活用した医薬品の研究開発をおこなっています。現状は新薬開発における研究開発費が売り上げを大きく上回っており、赤字が続いています。	7月2日(火)	東証グロース	[{"株主名": "DBJキャピタル投資事業有限責任組合", "比率": 16.3, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "大和日台バイオベンチャー2号投資事業有限責任組合", "比率": 12.05, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "WMグロース3号投資事業有限責任組合", "比率": 11.09, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "ライフサイエンス3号投資事業有限責任組合", "比率": 8.29, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "Eli Lilly and Company", "比率": 6.99, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "竹原 大（社長）", "比率": 6.37, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "中島 喜一郎", "比率": 5.23, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "Newton Biocapital I Pricaf privée SA", "比率": 3.49, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "santec Holdings(株)", "比率": 3.49, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "大原薬品工業(株)", "比率": 2.8, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2020年9月": 206.0, "2021年9月": 59.0, "2022年9月": 554.0, "2023年9月": 113.0}}, {"経常利益（百万円）": {"2020年9月": -140.0, "2021年9月": -154.0, "2022年9月": 79.0, "2023年9月": -498.0}}, {"当期純利益（百万円）": {"2020年9月": -143.0, "2021年9月": -156.0, "2022年9月": 73.0, "2023年9月": -527.0}}, {"純資産額（百万円）": {"2020年9月": -51.0, "2021年9月": 1093.0, "2022年9月": 1675.0, "2023年9月": 1148.0}}, {"1株あたりの純資産額（円）": {"2020年9月": -6711.0, "2021年9月": -6232.0, "2022年9月": -15.0, "2023年9月": -35.0}}, {"1株あたりの純利益（円）": {"2020年9月": -1470.0, "2021年9月": -1557.0, "2022年9月": 3.0, "2023年9月": -19.0}}, {"自己資本比率（％）": {"2020年9月": null, "2021年9月": 72.4, "2022年9月": 96.2, "2023年9月": 94.7}}, {"自己資本利益率（％）": {"2020年9月": null, "2021年9月": null, "2022年9月": 5.3, "2023年9月": null}}]														
	ロゴスホールディングス			205A					89.5						廃止		https://www.ipokiso.com/company/2024/logos-holdings.html	https://irbank.net/205A/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100THRK.pdf	https://logos-holdings.jp/	デジタルマーケティング集客およびDXによる効率的なオペレーションを活用した注文住宅事業					2020年7月（4年目）	ロゴスホールディングス（205A）、北海道を中心に注文住宅・分譲住宅の販売をおこなっています。直近の業績推移を見ると、2023年5月期は第3四半期時点で売上20,257百万円となっており、売り上げの伸びが鈍化しているように見えます。	6月28日(金)	東証グロース	[{"株主名": "エンデバー・ユナイテッド2号投資事業有限責任組合", "比率": 84.26, "ロックアップ": "1.5倍", "isCEO": false}, {"株主名": "（株）チキンシープ", "比率": 7.46, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "池田 雄一（社長）", "比率": 1.17, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "（株）BOSS", "比率": 0.86, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "岩永 武也", "比率": 0.64, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "竹田 純", "比率": 0.52, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "平山 純太", "比率": 0.38, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "神山 周市", "比率": 0.37, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "谷口 文弥", "比率": 0.23, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "池田 俊", "比率": 0.23, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2021年5月": null, "2022年5月": 24850.0, "2023年5月": 28026.0, "2023年5月（第3四半期）": 20257.0}}, {"経常利益（百万円）": {"2021年5月": -9.0, "2022年5月": 1189.0, "2023年5月": -140.0, "2023年5月（第3四半期）": 358.0}}, {"当期純利益（百万円）": {"2021年5月": 61.0, "2022年5月": 774.0, "2023年5月": -81.0, "2023年5月（第3四半期）": 182.0}}, {"純資産額（百万円）": {"2021年5月": 1674.0, "2022年5月": 3271.0, "2023年5月": 3191.0, "2023年5月（第3四半期）": 3384.0}}, {"1株あたりの純資産額（円）": {"2021年5月": 44.0, "2022年5月": 848.0, "2023年5月": 827.0, "2023年5月（第3四半期）": null}}, {"1株あたりの純利益（円）": {"2021年5月": 2.0, "2022年5月": 202.0, "2023年5月": -21.0, "2023年5月（第3四半期）": 47.0}}, {"自己資本比率（％）": {"2021年5月": 68.9, "2022年5月": 22.5, "2023年5月": 21.7, "2023年5月（第3四半期）": 21.0}}, {"自己資本利益率（％）": {"2021年5月": null, "2022年5月": 27.1, "2023年5月": -2.5, "2023年5月（第3四半期）": null}}]														
	豆蔵デジタルホールディングス			202A					205.4						廃止		https://www.ipokiso.com/company/2024/mamezo-dhd.html	https://irbank.net/202A/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100THGQ.pdf	https://www.mamezo-dhd.com/	企業のデジタルシフトを実現し、顧客とともにデジタル競争力を高めるためのクラウドコンサルティングサービス、AIコンサルティングサービス、AIロボティクス・エンジニアリングサービス、モビリティ・オートメーションサービス					2020年11月（4年目）	豆蔵デジタルホールディングス（202A）、様々な情報をクラウド上で一元管理するシステムの導入支援をおこなう「クラウドコンサルティング事業」、業務にAIを導入し効率化を推進する「AIコンサルティング事業、AIロボティクス・エンジニアリング事業」、自動車業界におけるCASE（通信機能、自動化、カーシェアリング、電動自動車）対応支援をおこなう「モビリティ・オートメーション事業」を展開しています。	6月27日(木)	東証グロース	[{"株主名": "（株）豆蔵K2TOPホールディングス", "比率": 96.74, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "中原 徹也（社長）", "比率": 1.12, "ロックアップ": "継続保有", "isCEO": true}, {"株主名": "宮田 賢治", "比率": 0.11, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "牟田 嘉寿", "比率": 0.1, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "福富 三雄", "比率": 0.09, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "平田 雅敏", "比率": 0.08, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "日比生 和彦", "比率": 0.08, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "金子 聖史", "比率": 0.07, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "南雲 暢之", "比率": 0.07, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "粟津 雅浩", "比率": 0.05, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2021年3月": null, "2022年3月": 8175.0, "2023年3月": 8859.0, "2024年3月（第3四半期）": 7255.0}}, {"経常利益（百万円）": {"2021年3月": -5.0, "2022年3月": 674.0, "2023年3月": 1589.0, "2024年3月（第3四半期）": 1394.0}}, {"当期純利益（百万円）": {"2021年3月": -5.0, "2022年3月": 1134.0, "2023年3月": 1103.0, "2024年3月（第3四半期）": 916.0}}, {"純資産額（百万円）": {"2021年3月": -4.0, "2022年3月": 2403.0, "2023年3月": 3390.0, "2024年3月（第3四半期）": 2018.0}}, {"1株あたりの純資産額（円）": {"2021年3月": -35942.0, "2022年3月": 150.0, "2023年3月": 212.0, "2024年3月（第3四半期）": null}}, {"1株あたりの純利益（円）": {"2021年3月": -45942.0, "2022年3月": 71.0, "2023年3月": 69.0, "2024年3月（第3四半期）": 57.0}}, {"自己資本比率（％）": {"2021年3月": null, "2022年3月": 70.2, "2023年3月": 73.5, "2024年3月（第3四半期）": 61.0}}, {"自己資本利益率（％）": {"2021年3月": null, "2022年3月": 47.2, "2023年3月": 38.1, "2024年3月（第3四半期）": null}}]														
	MFS			196A				23.05	36.3						廃止		https://www.ipokiso.com/company/2024/mortgagefss.html	https://irbank.net/196A/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100TGHH.pdf	https://www.mortgagefss.jp/	オンライン住宅ローンサービス『モゲチェック』の開発・提供、不動産投資の総合プラットフォーム『INVASE』の開発・提供					2009年7月（15年目）	MFS[エムエフエス]（196A）、住宅ローンの借り入れや借り換えを検討するユーザーに対して、借入可能額・融資承認確率などの情報を算出するオンラインサービス「モゲチェック」などを提供しています。直近の業績推移を見ると、売り上げが右肩上がりで伸びており、今後の成長性も感じられます。	6月21日(金)	東証グロース	[{"株主名": "中山田 明（社長）", "比率": 23.05, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "JICベンチャー・グロース・ファンド1号投資事業有限責任組合", "比率": 11.6, "ロックアップ": "180日間1.5倍", "isCEO": false}, {"株主名": "塩澤 崇", "比率": 8.57, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "テクノロジーベンチャーズ5号投資事業有限責任組合", "比率": 6.62, "ロックアップ": "180日間1.5倍", "isCEO": false}, {"株主名": "グロービス5号ファンド投資事業有限責任組合", "比率": 6.52, "ロックアップ": "180日間1.5倍", "isCEO": false}, {"株主名": "BIG1号投資事業有限責任組合", "比率": 4.37, "ロックアップ": "", "isCEO": false}, {"株主名": "YJ2号投資事業組合", "比率": 4.05, "ロックアップ": "", "isCEO": false}, {"株主名": "Globis Fund V, L.P.", "比率": 2.79, "ロックアップ": "180日間1.5倍", "isCEO": false}, {"株主名": "ジー・エス・グロース・インベストメント合同会社", "比率": 2.71, "ロックアップ": "", "isCEO": false}, {"株主名": "マネックスベンチャーズ（株）", "比率": 2.14, "ロックアップ": "", "isCEO": false}]	[{"売上高（百万円）": {"2020年6月": 250.0, "2021年6月": 505.0, "2022年6月": 844.0, "2023年6月": 1608.0}}, {"経常利益（百万円）": {"2020年6月": -171.0, "2021年6月": -230.0, "2022年6月": -552.0, "2023年6月": -147.0}}, {"当期純利益（百万円）": {"2020年6月": -187.0, "2021年6月": -231.0, "2022年6月": -556.0, "2023年6月": -150.0}}, {"純資産額（百万円）": {"2020年6月": 226.0, "2021年6月": 1024.0, "2022年6月": 469.0, "2023年6月": 1189.0}}, {"1株あたりの純資産額（円）": {"2020年6月": -84604.0, "2021年6月": -107730.0, "2022年6月": -816.0, "2023年6月": -891.0}}, {"1株あたりの純利益（円）": {"2020年6月": -9424.0, "2021年6月": -10177.0, "2022年6月": -104.0, "2023年6月": -25.0}}, {"自己資本比率（％）": {"2020年6月": 86.2, "2021年6月": 80.1, "2022年6月": 50.6, "2023年6月": 61.1}}, {"自己資本利益率（％）": {"2020年6月": null, "2021年6月": null, "2022年6月": null, "2023年6月": null}}]														
	タウンズ			197A				30.82	440						廃止		https://www.ipokiso.com/company/2024/tauns.html	https://irbank.net/197A/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100TGH4.pdf	https://www.tauns.co.jp/	体外診断用医薬品、研究用試薬等の開発、製造および販売事業					2016年4月（9年目）	タウンズ（197A）、特別な装置を必要とせず、患者のそばで「新型コロナウイルス」や「インフルエンザ」などの感染症をすみやかに診断するキットを製造・販売しています。2020年から新型コロナウイルスを診断する検査キットが発売され、業績が急拡大しています。今後の業績推移に関しては、新型コロナウイルスの流行度に大きく影響を受けそうです。	6月20日(木)	東証スタンダード	[{"株主名": "CITIC Capital Japan Partners III, L.P.", "比率": 55.26, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "野中 雅貴（社長）", "比率": 30.82, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "Ariake-T1 投資事業有限責任組合", "比率": 5.56, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）くふうカンパニー", "比率": 2.78, "ロックアップ": "", "isCEO": false}, {"株主名": "Ariake Secondary Fund I LP(常任代理人 あいざわアセットマネジメント（株）)", "比率": 0.56, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "CCJP III Co-Investment, L.P.", "比率": 0.34, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "内山 義雄", "比率": 0.15, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "中澤 真士", "比率": 0.14, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "従業員", "比率": 0.11, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "従業員", "比率": 0.11, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2020年6月": null, "2021年6月": null, "2022年6月": 17457.0, "2023年6月": 15673.0}}, {"経常利益（百万円）": {"2020年6月": -10.0, "2021年6月": -54.0, "2022年6月": 11211.0, "2023年6月": 4953.0}}, {"当期純利益（百万円）": {"2020年6月": -11.0, "2021年6月": -55.0, "2022年6月": 4481.0, "2023年6月": 3035.0}}, {"純資産額（百万円）": {"2020年6月": 4735.0, "2021年6月": 4679.0, "2022年6月": 7356.0, "2023年6月": 8490.0}}, {"1株あたりの純資産額（円）": {"2020年6月": 47.0, "2021年6月": 47.0, "2022年6月": 73.0, "2023年6月": 85.0}}, {"1株あたりの純利益（円）": {"2020年6月": 0.0, "2021年6月": -1.0, "2022年6月": 45.0, "2023年6月": 30.0}}, {"自己資本比率（％）": {"2020年6月": 44.4, "2021年6月": 45.3, "2022年6月": 36.3, "2023年6月": 46.3}}, {"自己資本利益率（％）": {"2020年6月": -0.2, "2021年6月": -1.2, "2022年6月": 74.6, "2023年6月": 38.3}}]														
	WOLVES HAND			194A				42.08	60.2						廃止		https://www.ipokiso.com/company/2024/wolveshand.html	https://irbank.net/194A/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100TG7H.pdf	https://wolveshand.jp/	一次診療から高度医療まで対応可能な動物病院運営、その他周辺事業（トリミングサロン運営、動物病院向けシステム開発、獣医療関係者向け教育コンテンツ配信等）					2019年4月（6年目）	WOLVES HAND[ウルブズハンド]（194A）、動物病院およびペットサロンの運営、動物病院向けソフトウエアの提供、獣医療教育セミナーの配信および医療用機械器具の製造・販売をおこなっています。動物病院向けソフトウエア「わん太郎」には、電子カルテや各種証明書の発行、顧客管理、会計管理などの機能があります。	6月20日(木)	東証グロース	[{"株主名": "北井　正志（社長）", "比率": 42.08, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "J-STAR No.3 SS, LP", "比率": 20.31, "ロックアップ": "180日間1.5倍", "isCEO": false}, {"株主名": "J-STAR No.3 JF, LP", "比率": 10.52, "ロックアップ": "180日間1.5倍", "isCEO": false}, {"株主名": "J-STAR No.3 JC, LP", "比率": 8.7, "ロックアップ": "180日間1.5倍", "isCEO": false}, {"株主名": "J-STAR No.3 GF, LP", "比率": 8.66, "ロックアップ": "180日間1.5倍", "isCEO": false}, {"株主名": "山下　瞬", "比率": 1.2, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "J-STAR有限責任事業組合2016", "比率": 1.07, "ロックアップ": "180日間1.5倍", "isCEO": false}, {"株主名": "池原　秀壱", "比率": 0.66, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "東野　利武", "比率": 0.41, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "水野　雄貴", "比率": 0.38, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2020年6月": 2024.0, "2021年6月": 4179.0, "2022年6月": 4295.0, "2023年6月": 4651.0}}, {"経常利益（百万円）": {"2020年6月": 213.0, "2021年6月": 669.0, "2022年6月": 713.0, "2023年6月": 801.0}}, {"当期純利益（百万円）": {"2020年6月": -1942.0, "2021年6月": 244.0, "2022年6月": 317.0, "2023年6月": 506.0}}, {"純資産額（百万円）": {"2020年6月": 432.0, "2021年6月": 676.0, "2022年6月": 1014.0, "2023年6月": 1520.0}}, {"1株あたりの純資産額（円）": {"2020年6月": 58.0, "2021年6月": 91.0, "2022年6月": 137.0, "2023年6月": 205.0}}, {"1株あたりの純利益（円）": {"2020年6月": -262.0, "2021年6月": 33.0, "2022年6月": 43.0, "2023年6月": 68.0}}, {"自己資本比率（％）": {"2020年6月": 10.6, "2021年6月": 17.2, "2022年6月": 21.6, "2023年6月": 27.9}}, {"自己資本利益率（％）": {"2020年6月": null, "2021年6月": 44.1, "2022年6月": 37.1, "2023年6月": 39.9}}]														
	PostPrime			198A					45.5						廃止		https://www.ipokiso.com/company/2024/postprime.html	https://irbank.net/198A/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100TGHF.pdf	https://corp.postprime.com/	PostPrimeの運営					2020年9月（4年目）	PostPrime[ポストプライム]（198A）、金融・経済分野のコンテンツを中心としたSNS「PostPrime」を運営しています。社長の「高橋ダニエル圭氏（ダン高橋）」は、自身も投資家ユーチューバーのインフルエンサーとして活躍しており、PostPrimeの今後の成長に大きく貢献してくれそうです。	6月20日(木)	東証グロース	[{"株主名": "DAN TAKAHASHI LLC", "比率": 79.27, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "高橋 ダニエル 圭（社長）", "比率": 8.81, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "コタエル信託（株）", "比率": 3.96, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "ヴー ヴァン チュン", "比率": 1.98, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "羽鳥 有紀彦", "比率": 1.32, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "従業員", "比率": 0.55, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "従業員", "比率": 0.44, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "従業員", "比率": 0.44, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "従業員", "比率": 0.4, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "従業員", "比率": 0.4, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2021年5月": 206.0, "2022年5月": 644.0, "2023年5月": 787.0, "2024年5月（第3四半期）": 734.0}}, {"経常利益（百万円）": {"2021年5月": 319.0, "2022年5月": 420.0, "2023年5月": 261.0, "2024年5月（第3四半期）": 338.0}}, {"当期純利益（百万円）": {"2021年5月": 207.0, "2022年5月": 201.0, "2023年5月": 186.0, "2024年5月（第3四半期）": 222.0}}, {"純資産額（百万円）": {"2021年5月": 215.0, "2022年5月": 419.0, "2023年5月": 606.0, "2024年5月（第3四半期）": 827.0}}, {"1株あたりの純資産額（円）": {"2021年5月": 215.0, "2022年5月": 42.0, "2023年5月": 60.0, "2024年5月（第3四半期）": null}}, {"1株あたりの純利益（円）": {"2021年5月": 207.0, "2022年5月": 20.0, "2023年5月": 19.0, "2024年5月（第3四半期）": 22.16}}, {"自己資本比率（％）": {"2021年5月": 61.2, "2022年5月": 78.6, "2023年5月": 65.6, "2024年5月（第3四半期）": 65.4}}, {"自己資本利益率（％）": {"2021年5月": 184.9, "2022年5月": 63.6, "2023年5月": 36.6, "2024年5月（第3四半期）": null}}]														
	ライスカレー			195A				42.13	42.2						廃止		https://www.ipokiso.com/company/2024/ricecurry.html	https://irbank.net/195A/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100TG7Y.pdf	https://ricecurry.co.jp/	自社のSNSデータ分析ツールを駆使した企業のマーケティング支援および自社のブランド販売事業					2016年4月（9年目）	ライスカレー（195A）、主に企業向けにSNS運用のマーケティング支援、DX（デジタル技術による変革）推進、および、SNS分析や集客ツールをまとめたクラウドサービス「CCXcloud」を提供しています。直近の業績推移を見る限り、急激な右肩上がりで業績を拡大しており、成長性も十分に感じられます。	6月19日(水)	東証グロース	[{"株主名": "大久保 遼（社長）", "比率": 42.13, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "GMOベンチャー通信スタートアップ支援（株）", "比率": 4.46, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "川上 慶士", "比率": 3.08, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "（株）丸井グループ", "比率": 2.9, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "みずほ成長支援第3号投資事業有限責任組合", "比率": 2.78, "ロックアップ": "90日間1.5倍", "isCEO": false}, {"株主名": "森岡 祐平", "比率": 2.77, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "GMOメイクショップ（株）", "比率": 2.69, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "岩片 麻翔", "比率": 2.32, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "執行役員", "比率": 2.31, "ロックアップ": "継続保有", "isCEO": false}, {"株主名": "執行役員", "比率": 2.21, "ロックアップ": "継続保有", "isCEO": false}]	[{"売上高（百万円）": {"2020年3月": 5.0, "2021年3月": 374.0, "2022年3月": 991.0, "2023年3月": 1834.0}}, {"経常利益（百万円）": {"2020年3月": 1.0, "2021年3月": -112.0, "2022年3月": -84.0, "2023年3月": -167.0}}, {"当期純利益（百万円）": {"2020年3月": -1.0, "2021年3月": -303.0, "2022年3月": -89.0, "2023年3月": -122.0}}, {"純資産額（百万円）": {"2020年3月": 222.0, "2021年3月": -81.0, "2022年3月": 297.0, "2023年3月": 642.0}}, {"1株あたりの純資産額（円）": {"2020年3月": 986.0, "2021年3月": -358.0, "2022年3月": 118.0, "2023年3月": 234.0}}, {"1株あたりの純利益（円）": {"2020年3月": -3.0, "2021年3月": -1344.0, "2022年3月": -38.0, "2023年3月": -45.0}}, {"自己資本比率（％）": {"2020年3月": 67.7, "2021年3月": null, "2022年3月": 50.7, "2023年3月": 51.1}}, {"自己資本利益率（％）": {"2020年3月": -0.4, "2021年3月": null, "2022年3月": -82.4, "2023年3月": -19.0}}]														
	インテグループ			192A				45.02	78.5						廃止		https://www.ipokiso.com/company/2024/integroup.html	https://irbank.net/192A/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100TFZI.pdf	https://www.integroup.jp/	M&A仲介業					2007年6月（17年目）	インテグループ（192A）、中小企業を中心とした完全成功報酬制のM&A仲介サービスを提供しています。直近の業績推移を見ると、売り上げが順調に伸びており、今後の成長性も感じられます。	6月18日(火)	東証グロース	[{"株主名": "藤井 一郎（社長）", "比率": 45.02, "ロックアップ": "180日間", "isCEO": true}, {"株主名": "籠谷 智輝", "比率": 45.02, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "廣瀬 一憲", "比率": 2.77, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "中島 知広", "比率": 0.93, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "徳田 陽太", "比率": 0.81, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "松本 直久", "比率": 0.78, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "森山 克哉", "比率": 0.57, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "高辻 智之", "比率": 0.5, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "佐藤 優哉", "比率": 0.42, "ロックアップ": "180日間", "isCEO": false}, {"株主名": "堤 瞭", "比率": 0.32, "ロックアップ": "180日間", "isCEO": false}]	[{"売上高（百万円）": {"2020年5月": 294.0, "2021年5月": 838.0, "2022年5月": 649.0, "2023年5月": 1274.0}}, {"経常利益（百万円）": {"2020年5月": -99.0, "2021年5月": 257.0, "2022年5月": 12.0, "2023年5月": 239.0}}, {"当期純利益（百万円）": {"2020年5月": -59.0, "2021年5月": 191.0, "2022年5月": 0.0, "2023年5月": 171.0}}, {"純資産額（百万円）": {"2020年5月": 328.0, "2021年5月": 520.0, "2022年5月": 519.0, "2023年5月": 690.0}}, {"1株あたりの純資産額（円）": {"2020年5月": 164.0, "2021年5月": 260.0, "2022年5月": 260.0, "2023年5月": 345.0}}, {"1株あたりの純利益（円）": {"2020年5月": -29.0, "2021年5月": 96.0, "2022年5月": 0.0, "2023年5月": 85.0}}, {"自己資本比率（％）": {"2020年5月": 88.9, "2021年5月": 67.3, "2022年5月": 90.9, "2023年5月": 62.9}}, {"自己資本利益率（％）": {"2020年5月": null, "2021年5月": 45.1, "2022年5月": null, "2023年5月": 28.2}}]														
	ChordiaTherapeutics			190A					100.3						廃止		https://www.ipokiso.com/company/2024/chordiatherapeutics.html	https://irbank.net/190A/ir	https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100TE86.pdf	https://www.chordiatherapeutics.com	RNA制御ストレスを標的とするがん治療薬の開発など					2017年10月（7年目）	"Chordia Therapeutics[コーディア セラビューティクス]（190A）、新規抗がん薬を発売することをめざして研究開発をおこなう創薬ベンチャー企業です。2023年8月期は、2020年12月に結んだ新薬のライセンス契約における臨床試験が開始されたことで、2,500百万円の支払金を受け取っています。



　公開株数は非常に多めで、主要大株主には期間でロックアップがかかっています。想定価格200円以下の案件はほとんど見かけませんが、2017年に同じくバイオ関連のソレイジア・ファーマ（4597）が、想定価格180円で、公募価格比+49円（+26.5％）の上昇を見せています。"	6月14日(金)	東証グロース	[{"株主名": "武田薬品工業（株）", "比率": 14.71, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "イノベーション京都2016投資事業有限責任組合", "比率": 12.38, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "New Life Science 1号投資事業有限責任組合", "比率": 10.27, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "日本グロースキャピタル投資法人", "比率": 7.86, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "ジャフコSV5共有投資事業有限責任組合", "比率": 7.18, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "当社従業員17名", "比率": 6.67, "ロックアップ": "90日間※", "isCEO": false}, {"株主名": "MEDIPAL Innovation 投資事業有限責任組合", "比率": 6.55, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "三菱UFJライフサイエンス1号投資事業有限責任組合", "比率": 6.19, "ロックアップ": "90日間", "isCEO": false}, {"株主名": "三宅 洋（社長）", "比率": 6.12, "ロックアップ": "360日間", "isCEO": true}, {"株主名": "協創プラットフォーム開発1号投資事業有限責任組合", "比率": 5.24, "ロックアップ": "90日間", "isCEO": false}]	[{"事業収益（百万円）": {"2020年8月": null, "2021年8月": 800.0, "2022年8月": null, "2023年8月": 2500.0}}, {"経常利益（百万円）": {"2020年8月": -975.0, "2021年8月": -525.0, "2022年8月": -1777.0, "2023年8月": 226.0}}, {"当期純利益（百万円）": {"2020年8月": -977.0, "2021年8月": -527.0, "2022年8月": -1779.0, "2023年8月": 223.0}}, {"純資産額（百万円）": {"2020年8月": 1023.0, "2021年8月": 2056.0, "2022年8月": 4278.0, "2023年8月": 4501.0}}, {"1株あたりの純資産額（円）": {"2020年8月": -12562.0, "2021年8月": -11639.0, "2022年8月": -72.0, "2023年8月": 79.0}}, {"1株あたりの純利益（円）": {"2020年8月": -6885.0, "2021年8月": -3017.0, "2022年8月": -40.0, "2023年8月": 4.0}}, {"自己資本比率（％）": {"2020年8月": 87.2, "2021年8月": 89.4, "2022年8月": 94.5, "2023年8月": 91.2}}, {"自己資本利益率（％）": {"2020年8月": null, "2021年8月": null, "2022年8月": null, "2023年8月": 5.1}}]														
