項目	値
事業の内容	 ２ 【事業の内容】当第２四半期累計期間において、当社において営まれている事業の内容について、重要な変更はありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】当第２四半期累計期間において、当四半期報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項の発生又は前事業年度の有価証券報告書に記載した「事業等のリスク」についての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当四半期会計期間の末日現在において判断したものであります。また、当社は飲食事業の単一セグメントであるため、セグメント別の記載を省略しております。 （1）経営成績の状況　当第２四半期累計期間（2023年８月１日から2024年１月31日まで）におけるわが国経済は、新型コロナウイルス感染症による影響が収束されたことで、社会経済活動の正常化が進展し、個人の消費マインドが改善するとともに景気回復への動きも緩やかに見られました。しかしながら、物価上昇やインフレの進行による影響に加え、中国経済の停滞や緊迫した海外情勢などにより景気が減速する懸念もあり、依然として先行き不透明な状況となっております。外食業界におきましては、人流の回復に加え、インバウンド消費の拡大も追い風となり、外食需要は堅調に推移いたしました。その一方で、円安の常態化を背景にした原材料価格の高止まりや、慢性的な労働力不足の影響もあり、引き続き厳しい経営環境が続いております。このような状況の中、当社におきましては、「新町中華」をコンセプトとした日常マーケット新業態の出店強化として、2023年９月に「中国食堂はまゆう　野並店」（名古屋市天白区）を新規に出店いたしました。また、既存業態店舗につきましては、2023年10月に、浜木綿業態では「季節先取り牡蠣クンポーフェア」、四季亭業態では「秋のふかひれ堪能祭り」をそれぞれ実施し、集客に努めました。さらに、消費者のライフスタイルの変化に対応した店舗づくりを行うための改装を実施し、2023年９月に「浜木綿　黒川店」（名古屋市北区）、同年11月に「浜木綿　春日井店」（愛知県春日井市）をそれぞれリニューアルオープンいたしました。一方、退店につきましては「浜木綿　青葉台南店」（横浜市青葉区）を１店舗実施いたしました。これにより、当第２四半期会計期間末現在の店舗数は、「浜木綿」30店舗、「四季亭」３店舗、「桃李蹊」３店舗、「中国食堂はまゆう」４店舗の合計40店舗（すべて直営店）となっております。　以上の結果、当第２四半期累計期間における売上高は2,950百万円（前年同期比14.1％増）、営業利益は154百万円（前年同期比838.1％増）、経常利益は156百万円（前年同期比780.9％増）、四半期純利益は106百万円（前年同期比215.6％増）となりました。  （2）財政状態の状況当第２四半期会計期間末における総資産額は4,232百万円、負債は2,718百万円、純資産は1,513百万円であり、自己資本比率は35.8％となりました。 （流動資産）流動資産につきましては前事業年度末に比べ227百万円増加し、1,622百万円となりました。これは主に現金及び預金が285百万円増加したことによるものであります。 （固定資産）固定資産につきましては前事業年度末に比べ146百万円増加し、2,609百万円となりました。これは主に有形固定資産が126百万円増加したことによるものであります。 （流動負債）流動負債につきましては前事業年度末に比べ123百万円増加し、1,031百万円となりました。これは主に未払法人税等が56百万円、未払金が41百万円増加したことによるものであります。 （固定負債）固定負債につきましては前事業年度末に比べ152百万円増加し、1,687百万円となりました。これは主に長期借入金が110百万円、リース債務が37百万円増加したことによるものであります。 （純資産）純資産につきましては前事業年度末に比べ98百万円増加し、1,513百万円となりました。これは主に利益剰余金が85百万円増加したことによるものであります。 （3）キャッシュ・フローの状況当第２四半期会計期間末における現金及び現金同等物（以下「資金」という。）の残高は前事業年度末に比べ263百万円増加し、1,179百万円となりました。当第２四半期累計期間における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。 (営業活動によるキャッシュ・フロー)営業活動の結果増加した資金は303百万円（前年同期は200百万円の増加）となりました。これは主に税引前四半期純利益141百万円、減価償却費80百万円を計上したことによるものであります。 (投資活動によるキャッシュ・フロー)投資活動の結果減少した資金は145百万円（前年同期は322百万円の増加）となりました。これは主に有形固定資産の取得による支出162百万円を計上したことによるものであります。 (財務活動によるキャッシュ・フロー)財務活動の結果増加した資金は104百万円（前年同期は540百万円の減少）となりました。これは主に長期借入れによる収入250百万円により増加した一方、長期借入金の返済による支出111百万円により減少したものであります。 （4）経営方針・経営戦略等当第２四半期累計期間において、当社が定めている経営方針・経営戦略について重要な変更はありません。 （5）事業上及び財務上の対処すべき課題当第２四半期累計期間において、当社が対処すべき課題について重要な変更はありません。 （6）研究開発活動該当事項はありません。 
経営上の重要な契約等	３ 【経営上の重要な契約等】当第２四半期会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式5,536,000計5,536,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第２四半期会計期間末現在発行数(株)(2024年１月31日)提出日現在発行数(株)(2024年３月14日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式2,158,1502,158,150東京証券取引所スタンダード市場 名古屋証券取引所メイン市場完全議決権株式であり、権利内容として何ら限定のない当社における標準となる株式であります。なお、単元株式数は100株であります。計2,158,1502,158,150―― （注）第２四半期会計期間末現在発行数のうち、8,450株は譲渡制限付株式報酬として普通株式を発行した際の現物出資（金銭報酬債権29百万円）によるものであります。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２ 【役員の状況】該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
